feature,r_2025,p_2025,n_2025,r_2026,p_2026,n_2026,r_comb,p_comb,n_comb
xg_overperformance_diff,0.6627,0.0,180,0.6143,0.0,70,0.6498,0.0,250
xg_overperformance_a,-0.5135,0.0,180,-0.467,0.0,70,-0.5007,0.0,250
prog_ratio_diff,,,0,0.4887,0.0001,62,0.4887,0.0001,62
xg_per_shot_diff,0.4931,0.0,180,0.3704,0.0017,69,0.4507,0.0,249
prog_ratio_h,,,0,0.4384,0.0004,62,0.4384,0.0004,62
xg_tilt_h,0.4089,0.0,180,0.4594,0.0001,70,0.4219,0.0,250
xg_tilt_diff,0.4089,0.0,180,0.4594,0.0001,70,0.4219,0.0,250
xg_diff,0.3979,0.0,180,0.4684,0.0,70,0.4164,0.0,250
xg_overperformance_h,0.4242,0.0,180,0.3887,0.0009,70,0.4113,0.0,250
field_tilt_sot_diff,0.3759,0.0,180,0.418,0.0004,69,0.3848,0.0,249
field_tilt_sot_h,0.3759,0.0,180,0.418,0.0004,69,0.3848,0.0,249
sot_diff,0.3446,0.0,180,0.3914,0.0008,70,0.3568,0.0,250
poss_diff,-0.3365,0.0,180,-0.3415,0.0041,69,-0.3302,0.0,249
xg_ctx_diff,0.333,0.0,170,0.2268,0.0814,60,0.3002,0.0,230
passes_acc_pct_diff,-0.2831,0.0001,180,-0.2626,0.0293,69,-0.272,0.0,249
xg_ctx_a,-0.2496,0.001,170,-0.3668,0.0039,60,-0.2654,0.0,230
corners_diff,-0.1778,0.0169,180,-0.0325,0.7907,69,-0.1385,0.0289,249
xg_ctx_h,0.2028,0.008,170,0.0315,0.811,60,0.1373,0.0375,230
rolling_xg_diff_3,0.088,0.2541,170,0.154,0.24,60,0.109,0.0991,230
rolling_pts_diff_3,0.0805,0.2828,180,0.1726,0.1873,60,0.1018,0.1158,240
rolling_pts_3_h,0.062,0.4081,180,0.1821,0.1637,60,0.0924,0.1535,240
rolling_pts_3_a,-0.0533,0.4771,180,-0.043,0.7442,60,-0.0492,0.448,240
shots_diff,-0.0455,0.5444,180,0.1019,0.4014,70,-0.0063,0.9212,250
