feature,n,pearson_r,p_pearson,spearman_r,cramers_v,loo_accuracy
xg_overperformance_diff,250,0.6498,0.0,0.6699,0.4568,0.604
xg_overperformance_a,250,-0.5007,0.0,-0.5102,0.3465,0.532
prog_ratio_diff,62,0.4887,0.0001,0.5242,0.3787,0.4839
xg_per_shot_diff,249,0.4507,0.0,0.4934,0.3336,0.51
prog_ratio_h,62,0.4384,0.0004,0.4498,0.3424,0.5161
xg_tilt_h,250,0.4219,0.0,0.4183,0.3124,0.464
xg_tilt_diff,250,0.4219,0.0,0.4183,0.3124,0.464
xg_diff,250,0.4164,0.0,0.4105,0.3132,0.46
xg_overperformance_h,250,0.4113,0.0,0.4161,0.3009,0.452
field_tilt_sot_h,249,0.3848,0.0,0.3822,0.2617,0.498
field_tilt_sot_diff,249,0.3848,0.0,0.3822,0.2617,0.498
sot_diff,250,0.3568,0.0,0.3666,0.2533,0.504
xg_a,250,-0.3362,0.0,-0.3302,0.2474,0.42
xg_per_shot_h,249,0.3304,0.0,0.341,0.2328,0.4217
poss_diff,249,-0.3302,0.0,-0.3318,0.2519,0.4498
poss_a,249,0.3302,0.0,0.3318,0.2329,0.4498
poss_h,249,-0.3302,0.0,-0.3318,0.2519,0.4498
xg_per_shot_a,249,-0.3262,0.0,-0.3608,0.2334,0.4538
prog_ratio_a,62,-0.3114,0.0138,-0.3799,0.2937,0.3387
xg_ctx_diff,230,0.3002,0.0,0.3148,0.2309,0.4739
sot_a,250,-0.2857,0.0,-0.2753,0.2001,0.452
passes_acc_pct_diff,249,-0.272,0.0,-0.2744,0.167,0.4177
xg_ctx_a,230,-0.2654,0.0,-0.2956,0.2368,0.413
xg_h,250,0.2637,0.0,0.285,0.169,0.424
sot_h,250,0.2415,0.0001,0.2462,0.1355,0.468
passes_acc_pct_a,249,0.1962,0.0019,0.1931,0.1148,0.3896
passes_acc_pct_h,249,-0.1836,0.0036,-0.1655,0.1207,0.4056
tackles_diff,249,0.1475,0.0199,0.1308,0.1268,0.4016
corners_diff,249,-0.1385,0.0289,-0.1422,0.1063,0.4177
xg_ctx_h,230,0.1373,0.0375,0.1753,0.115,0.3652
rolling_xg_prod_3_a,230,-0.1213,0.0662,-0.1102,0.1006,0.413
rolling_xg_diff_3,230,0.109,0.0991,0.1044,0.1527,0.4391
rolling_pts_diff_3,240,0.1018,0.1158,0.1083,0.0921,0.3875
rolling_pts_3_h,240,0.0924,0.1535,0.0952,0.1012,0.4042
rolling_pts_3_a,240,-0.0492,0.448,-0.0342,0.0512,0.4125
shots_h,250,-0.0417,0.5117,-0.0275,0.0997,0.432
shots_a,250,-0.0374,0.5557,-0.0454,0.1213,0.384
rolling_xg_prod_3_h,230,0.0336,0.6121,0.0402,0.1018,0.3696
field_tilt_diff,249,0.0282,0.6576,0.0175,0.0511,0.3896
field_tilt_h,249,0.0282,0.6576,0.0175,0.0511,0.3896
rolling_xg_conc_3_h,230,-0.0271,0.6829,-0.0481,0.141,0.3957
rolling_xg_conc_3_a,230,0.0227,0.732,0.0246,0.0711,0.3957
line_height_a,62,0.022,0.8652,0.0425,0.1039,0.2903
line_height_h,62,0.0135,0.917,-0.0356,0.0741,0.1935
shots_diff,250,-0.0063,0.9212,-0.0022,0.0828,0.428
line_height_diff,62,-0.0056,0.9654,-0.014,0.1397,0.2581
