source,feature,n,pearson_r,p_pearson,spearman_r,cramers_v,loo_accuracy
2025,xg_overperformance_diff,180,0.6627,0.0,0.6924,0.5039,0.6278
2025,xg_overperformance_a,180,-0.5135,0.0,-0.5239,0.3179,0.5444
2025,xg_per_shot_diff,180,0.4931,0.0,0.516,0.3789,0.5222
2025,xg_overperformance_h,180,0.4242,0.0,0.4378,0.303,0.4389
2025,xg_tilt_h,180,0.4089,0.0,0.4082,0.2961,0.4556
2025,xg_tilt_diff,180,0.4089,0.0,0.4082,0.2961,0.4556
2025,xg_diff,180,0.3979,0.0,0.3958,0.2971,0.4833
2025,xg_per_shot_a,180,-0.3881,0.0,-0.383,0.2453,0.4889
2025,field_tilt_sot_h,180,0.3759,0.0,0.3869,0.2625,0.4889
2025,field_tilt_sot_diff,180,0.3759,0.0,0.3869,0.2625,0.4889
2025,sot_diff,180,0.3446,0.0,0.367,0.2381,0.5056
2025,poss_diff,180,-0.3365,0.0,-0.3301,0.2429,0.4333
2025,poss_a,180,0.3365,0.0,0.3301,0.2426,0.4333
2025,poss_h,180,-0.3365,0.0,-0.3301,0.2429,0.4333
2025,xg_ctx_diff,170,0.333,0.0,0.3317,0.2969,0.4941
2025,xg_per_shot_h,180,0.3247,0.0,0.3377,0.243,0.4
2025,xg_a,180,-0.3133,0.0,-0.3007,0.2341,0.4444
2025,sot_a,180,-0.2912,0.0001,-0.2796,0.267,0.45
2025,passes_acc_pct_diff,180,-0.2831,0.0001,-0.2753,0.2005,0.4222
2025,xg_h,180,0.2533,0.0006,0.2741,0.1929,0.4278
2025,xg_ctx_a,170,-0.2496,0.001,-0.2789,0.2306,0.4294
2025,passes_acc_pct_a,180,0.2298,0.0019,0.2166,0.1235,0.4111
2025,sot_h,180,0.2122,0.0042,0.2185,0.1396,0.4667
2025,xg_ctx_h,170,0.2028,0.008,0.1878,0.1536,0.3882
2025,corners_diff,180,-0.1778,0.0169,-0.1798,0.1195,0.3667
2025,passes_acc_pct_h,180,-0.1638,0.028,-0.1415,0.1314,0.4278
2025,tackles_diff,180,0.1411,0.0589,0.1153,0.1156,0.4111
2025,rolling_xg_prod_3_a,170,-0.1336,0.0824,-0.1486,0.1196,0.3941
2025,rolling_xg_diff_3,170,0.088,0.2541,0.0885,0.1127,0.4059
2025,rolling_pts_diff_3,180,0.0805,0.2828,0.0875,0.0701,0.4167
