split,feature_set,model,n_train,n_test,accuracy,f1_macro,f1_weighted,log_loss,accuracy_std
Cross-Season (2025→2026),core,Baseline,170.0,59.0,0.3559322033898305,0.17500000000000002,0.186864406779661,23.214556420109357,
Cross-Season (2025→2026),core,LogisticRegression,170.0,59.0,0.8305084745762712,0.8315217391304347,0.8285740604274134,0.4836378167257531,
Cross-Season (2025→2026),core,RandomForest,170.0,59.0,0.7627118644067796,0.7633363444745558,0.7648682498124416,0.6008473770209894,
Cross-Season (2025→2026),core,XGBoost,170.0,59.0,0.7796610169491526,0.7832254853160777,0.7830567530856907,0.5005923664937367,
Walk-Forward R5,core,Baseline,200.0,10.0,0.3,0.15384615384615385,,,
Walk-Forward R5,core,LogisticRegression,200.0,10.0,0.9,0.9047619047619048,,,
Walk-Forward R5,core,RandomForest,200.0,10.0,0.6,0.5857142857142857,,,
Walk-Forward R5,core,XGBoost,200.0,10.0,0.8,0.8023809523809525,,,
Walk-Forward R6,core,Baseline,210.0,10.0,0.6,0.25,,,
Walk-Forward R6,core,LogisticRegression,210.0,10.0,0.9,0.6190476190476191,,,
Walk-Forward R6,core,RandomForest,210.0,10.0,1.0,1.0,,,
Walk-Forward R6,core,XGBoost,210.0,10.0,0.9,0.6190476190476191,,,
Walk-Forward R7,core,Baseline,220.0,9.0,0.4444444444444444,0.20512820512820515,,,
Walk-Forward R7,core,LogisticRegression,220.0,9.0,0.8888888888888888,0.8412698412698413,,,
Walk-Forward R7,core,RandomForest,220.0,9.0,0.8888888888888888,0.9153439153439153,,,
Walk-Forward R7,core,XGBoost,220.0,9.0,0.8888888888888888,0.6296296296296297,,,
K-Fold 5x,,Baseline,,,0.39739130434782616,0.18956959706959706,,,0.008519964322724092
K-Fold 5x,,LogisticRegression,,,0.9298550724637682,0.9228600139541481,,,0.04299831720548697
K-Fold 5x,,RandomForest,,,0.8381642512077294,0.8379262745831596,,,0.04390557591305027
K-Fold 5x,,XGBoost,,,0.8687922705314011,0.8654643437290996,,,0.03185564537001725
Walk-Forward R5,full_2026,Baseline,27.0,10.0,0.4,0.19047619047619047,,,
Walk-Forward R5,full_2026,LogisticRegression,27.0,10.0,0.8,0.8023809523809525,,,
Walk-Forward R5,full_2026,RandomForest,27.0,10.0,0.7,0.5523809523809523,,,
Walk-Forward R5,full_2026,XGBoost,27.0,10.0,0.5,0.38888888888888884,,,
Walk-Forward R6,full_2026,Baseline,37.0,8.0,0.125,0.07407407407407407,,,
Walk-Forward R6,full_2026,LogisticRegression,37.0,8.0,0.875,0.8222222222222223,,,
Walk-Forward R6,full_2026,RandomForest,37.0,8.0,0.5,0.38888888888888884,,,
Walk-Forward R6,full_2026,XGBoost,37.0,8.0,0.375,0.2814814814814815,,,
Walk-Forward R7,full_2026,Baseline,45.0,8.0,0.125,0.07407407407407407,,,
Walk-Forward R7,full_2026,LogisticRegression,45.0,8.0,0.625,0.6055555555555555,,,
Walk-Forward R7,full_2026,RandomForest,45.0,8.0,0.75,0.8055555555555555,,,
Walk-Forward R7,full_2026,XGBoost,45.0,8.0,0.625,0.6055555555555555,,,
