split,feature_set,model,n_train,n_test,accuracy,f1_macro,f1_weighted,log_loss,accuracy_std
Cross-Season (2025→2026),core,Baseline,170.0,59.0,0.3559322033898305,0.17500000000000002,0.186864406779661,23.214556420109357,
Cross-Season (2025→2026),core,LogisticRegression,170.0,59.0,0.5084745762711864,0.49335232668566004,0.4916461441885171,0.9045105694350223,
Cross-Season (2025→2026),core,RandomForest,170.0,59.0,0.5254237288135594,0.5059487799959669,0.5075209941862253,0.9102646102274885,
Cross-Season (2025→2026),core,XGBoost,170.0,59.0,0.4745762711864407,0.4597229590333039,0.45816121925999187,0.9609011081692361,
Walk-Forward R5,core,Baseline,200.0,10.0,0.3,0.15384615384615385,,,
Walk-Forward R5,core,LogisticRegression,200.0,10.0,0.5,0.4785714285714285,,,
Walk-Forward R5,core,RandomForest,200.0,10.0,0.5,0.4000000000000001,,,
Walk-Forward R5,core,XGBoost,200.0,10.0,0.4,0.35555555555555557,,,
Walk-Forward R6,core,Baseline,210.0,10.0,0.6,0.25,,,
Walk-Forward R6,core,LogisticRegression,210.0,10.0,0.7,0.4666666666666666,,,
Walk-Forward R6,core,RandomForest,210.0,10.0,0.8,0.5555555555555555,,,
Walk-Forward R6,core,XGBoost,210.0,10.0,0.7,0.4666666666666666,,,
Walk-Forward R7,core,Baseline,220.0,9.0,0.4444444444444444,0.20512820512820515,,,
Walk-Forward R7,core,LogisticRegression,220.0,9.0,0.5555555555555556,0.4646464646464647,,,
Walk-Forward R7,core,RandomForest,220.0,9.0,0.4444444444444444,0.2222222222222222,,,
Walk-Forward R7,core,XGBoost,220.0,9.0,0.4444444444444444,0.2222222222222222,,,
K-Fold 5x,,Baseline,,,0.39739130434782616,0.18956959706959706,,,0.008519964322724092
K-Fold 5x,,LogisticRegression,,,0.5542028985507247,0.5353902567235901,,,0.0854585958380109
K-Fold 5x,,RandomForest,,,0.5722705314009662,0.5514909264587754,,,0.05084329347147596
K-Fold 5x,,XGBoost,,,0.5722705314009662,0.5562096619814387,,,0.03552167047391287
Walk-Forward R5,full_2026,Baseline,27.0,10.0,0.4,0.19047619047619047,,,
Walk-Forward R5,full_2026,LogisticRegression,27.0,10.0,0.5,0.3757575757575758,,,
Walk-Forward R5,full_2026,RandomForest,27.0,10.0,0.6,0.5555555555555555,,,
Walk-Forward R5,full_2026,XGBoost,27.0,10.0,0.6,0.5444444444444444,,,
Walk-Forward R6,full_2026,Baseline,37.0,8.0,0.125,0.07407407407407407,,,
Walk-Forward R6,full_2026,LogisticRegression,37.0,8.0,0.625,0.4666666666666666,,,
Walk-Forward R6,full_2026,RandomForest,37.0,8.0,0.625,0.5079365079365079,,,
Walk-Forward R6,full_2026,XGBoost,37.0,8.0,0.5,0.4904761904761905,,,
Walk-Forward R7,full_2026,Baseline,45.0,8.0,0.125,0.07407407407407407,,,
Walk-Forward R7,full_2026,LogisticRegression,45.0,8.0,0.75,0.7301587301587301,,,
Walk-Forward R7,full_2026,RandomForest,45.0,8.0,0.5,0.4444444444444444,,,
Walk-Forward R7,full_2026,XGBoost,45.0,8.0,0.5,0.4444444444444444,,,
