season,competition,round,event_id,match_code,home_team,away_team,team_id,team_name,is_home,player_id,player_name,player_slug,position,jersey_number,is_substitute,last_updated_at,minutes_played,rating,total_pass,accurate_pass,total_long_balls,accurate_long_balls,goal_assist,accurate_own_half_passes,total_own_half_passes,accurate_opposition_half_passes,total_opposition_half_passes,total_progression,total_ball_carries_distance,total_progressive_ball_carries_distance,progressive_ball_carries_count,best_ball_carry_progression,ball_carries_count,total_shots,total_clearance,duel_won,was_fouled,saves,touches,possession_lost_ctrl,ball_recovery,expected_assists,pass_value_normalized,dribble_value_normalized,defensive_value_normalized,goalkeeper_value_normalized,keeper_save_value,goals_prevented
2026,Mineiro Módulo I ,1,15188764,yOsAfMc,América Mineiro,Athletic Club,,América Mineiro,True,124766,Gustavo,gustavo,G,1,False,2026-04-17T18:03:16.902626Z,90.0,7.4,33.0,26.0,12.0,6.0,0.0,25.0,29.0,1.0,4.0,64.05,80.933028619737,,,10.395,13.0,0.0,,,,3.0,41.0,7.0,7.0,,,,,,0.1526,
2026,Mineiro Módulo I ,1,15188764,yOsAfMc,América Mineiro,Athletic Club,,América Mineiro,True,1105945,Léo Alaba,leo-alaba,D,22,False,2026-04-17T18:03:16.902626Z,90.0,6.9,40.0,35.0,2.0,2.0,0.0,22.0,24.0,13.0,16.0,21.42,69.758358864724,,,11.445,7.0,0.0,2.0,4.0,1.0,,68.0,15.0,2.0,,,,,,,
2026,Mineiro Módulo I ,1,15188764,yOsAfMc,América Mineiro,Athletic Club,,América Mineiro,True,599700,Ricardo Silva,ricardo-silva,D,45,False,2026-04-17T18:03:16.902626Z,90.0,7.0,54.0,51.0,8.0,6.0,0.0,45.0,46.0,6.0,8.0,54.39,120.47960597621,,,12.075,14.0,0.0,2.0,,,,57.0,4.0,4.0,,,,,,,
2026,Mineiro Módulo I ,1,15188764,yOsAfMc,América Mineiro,Athletic Club,,América Mineiro,True,844015,Emerson Santos,emerson-santos,D,2,False,2026-04-17T18:03:16.902626Z,90.0,6.9,71.0,61.0,18.0,12.0,0.0,45.0,47.0,16.0,24.0,123.27,179.85938393894,48.286625082496,2.0,23.73,22.0,0.0,2.0,2.0,,,76.0,11.0,3.0,,,,,,,
2026,Mineiro Módulo I ,1,15188764,yOsAfMc,América Mineiro,Athletic Club,,América Mineiro,True,360160,Artur,artur,D,96,False,2026-04-17T18:03:16.902626Z,83.0,7.0,45.0,38.0,4.0,2.0,0.0,22.0,25.0,16.0,20.0,11.34,39.825246025792,,,6.09,8.0,1.0,4.0,6.0,,,74.0,13.0,4.0,,,,,,,
2026,Mineiro Módulo I ,1,15188764,yOsAfMc,América Mineiro,Athletic Club,,América Mineiro,True,1201949,Felipe Amaral,felipe-amaral,M,8,False,2026-04-17T18:03:16.902626Z,66.0,6.8,28.0,25.0,2.0,1.0,0.0,17.0,18.0,8.0,10.0,11.13,28.89113963801,,,6.93,5.0,1.0,2.0,2.0,,,35.0,4.0,1.0,,,,,,,
2026,Mineiro Módulo I ,1,15188764,yOsAfMc,América Mineiro,Athletic Club,,América Mineiro,True,1020259,Gabriel Barros,barros-gabriel,M,7,False,2026-04-17T18:03:16.902626Z,90.0,6.7,27.0,24.0,3.0,3.0,0.0,7.0,7.0,17.0,20.0,51.66,106.61058168026,35.187883985887,3.0,15.015,13.0,2.0,,1.0,1.0,,41.0,10.0,2.0,,,,,,,
2026,Mineiro Módulo I ,1,15188764,yOsAfMc,América Mineiro,Athletic Club,,América Mineiro,True,938482,Eduardo Person,eduardo-person,M,21,False,2026-04-17T18:03:16.902626Z,66.0,8.0,13.0,11.0,2.0,1.0,1.0,2.0,3.0,9.0,10.0,17.01,51.33741113882,,,12.915,6.0,1.0,,3.0,2.0,,27.0,7.0,2.0,,,,,,,
2026,Mineiro Módulo I ,1,15188764,yOsAfMc,América Mineiro,Athletic Club,,América Mineiro,True,1485488,Yago Souza,yago-souza,M,10,False,2026-04-17T18:03:16.902626Z,76.0,7.0,22.0,20.0,4.0,4.0,0.0,6.0,8.0,14.0,14.0,61.635,123.25350705994,5.7544143055571,1.0,13.86,17.0,2.0,,5.0,4.0,,36.0,6.0,3.0,,,,,,,
2026,Mineiro Módulo I ,1,15188764,yOsAfMc,América Mineiro,Athletic Club,,América Mineiro,True,1589390,Thauan Willians,thauan-willians-jesus-silva,M,11,False,2026-04-17T18:03:16.902626Z,76.0,8.1,22.0,18.0,1.0,1.0,0.0,8.0,10.0,10.0,12.0,139.02,215.74749915031,110.08911031774,6.0,23.625,22.0,4.0,,8.0,3.0,,54.0,18.0,7.0,,,,,,,
