season,competition_name,competition_round,event_id,match_code,match_date_utc,home_team,away_team,home_score,away_score,venue_name,status,is_completed,source_url,last_updated_at,team_key,is_home_team,team_outcome,transformed_at
2026,"Alagoano, Serie A",1,15168120,uPsHfQd,2026-01-10T20:00:00Z,ASA,Murici SC,0.0,0.0,,completed,True,https://www.sofascore.com/football/match/murici-sport-clube-asa/uPsHfQd,2026-05-07T18:35:48.625081Z,asa-al,True,,2026-05-07T18:46:30.438659Z
2026,"Alagoano, Serie A",2,15146449,uPsGtmd,2026-01-14T23:00:00Z,Cruzeiro-AL U23,ASA,2.0,4.0,,completed,True,https://www.sofascore.com/football/match/cruzeiro-al-u23-asa/uPsGtmd,2026-05-07T18:35:48.624483Z,asa-al,False,,2026-05-07T18:46:30.438659Z
2026,"Alagoano, Serie A",3,15146451,kPsuP,2026-01-17T19:00:00Z,ASA,CSA,0.0,0.0,,completed,True,https://www.sofascore.com/football/match/asa-csa/kPsuP,2026-05-07T18:35:48.624531Z,asa-al,True,,2026-05-07T18:46:30.438659Z
2026,"Alagoano, Serie A",4,15146464,uPsXLi,2026-01-21T23:00:00Z,ASA,Coruripe,2.0,0.0,,completed,True,https://www.sofascore.com/football/match/coruripe-asa/uPsXLi,2026-05-07T18:35:48.624556Z,asa-al,True,,2026-05-07T18:46:30.438659Z
2026,"Alagoano, Serie A",5,15146468,uPspGJc,2026-01-25T19:00:00Z,CSE,ASA,1.0,2.0,,completed,True,https://www.sofascore.com/football/match/cse-asa/uPspGJc,2026-05-07T18:35:48.624574Z,asa-al,False,,2026-05-07T18:46:30.438659Z
2026,"Copa Alagoas, Group B",1,15188492,uPsHfQd,2026-01-28T19:30:00Z,Murici SC,ASA,0.0,1.0,,completed,True,https://www.sofascore.com/football/match/murici-sport-clube-asa/uPsHfQd,2026-05-07T18:35:48.624594Z,asa-al,False,,2026-05-07T18:46:30.438659Z
2026,"Alagoano, Serie A",6,15146469,uPsHPi,2026-01-31T19:00:00Z,CRB,ASA,0.0,3.0,,completed,True,https://www.sofascore.com/football/match/crb-asa/uPsHPi,2026-05-07T18:35:48.624612Z,asa-al,False,,2026-05-07T18:46:30.438659Z
2026,"Copa Alagoas, Group B",2,15188491,uPsJohd,2026-02-04T23:00:00Z,ASA,Zumbi EC U23,2.0,1.0,,completed,True,https://www.sofascore.com/football/match/zumbi-u23-asa/uPsJohd,2026-05-07T18:35:48.624631Z,asa-al,True,,2026-05-07T18:46:30.438659Z
2026,"Alagoano, Serie A",7,15146476,uPsIfQd,2026-02-07T19:00:00Z,ASA,SC Penedense,2.0,0.0,,completed,True,https://www.sofascore.com/football/match/sc-penedense-asa/uPsIfQd,2026-05-07T18:35:48.624651Z,asa-al,True,,2026-05-07T18:46:30.438659Z
2026,"Copa Alagoas, Group B",3,15188503,uPsIfQd,2026-02-12T22:00:00Z,SC Penedense,ASA,,,,postponed,False,https://www.sofascore.com/football/match/sc-penedense-asa/uPsIfQd,2026-05-07T18:35:48.624670Z,asa-al,False,,2026-05-07T18:46:30.438659Z
2026,"Alagoano, Playoffs",28,15527203,uPsHfQd,2026-02-14T19:00:00Z,Murici SC,ASA,0.0,0.0,,completed,True,https://www.sofascore.com/football/match/murici-sc-asa/uPsHfQd,2026-05-07T18:35:48.624689Z,asa-al,False,,2026-05-07T18:46:30.438659Z
2026,"Alagoano, Playoffs",28,15527205,uPsHfQd,2026-02-22T19:00:00Z,ASA,Murici SC,3.0,0.0,,completed,True,https://www.sofascore.com/football/match/murici-sc-asa/uPsHfQd,2026-05-07T18:35:48.624706Z,asa-al,True,,2026-05-07T18:46:30.438659Z
2026,Copa Betano do Brasil,2,15566112,uPsOQYb,2026-02-25T23:00:00Z,ASA,Operário-MS,1.0,2.0,,completed,True,https://www.sofascore.com/football/match/operario-ms-asa/uPsOQYb,2026-05-07T18:35:48.624725Z,asa-al,True,,2026-05-07T18:46:30.438659Z
2026,"Alagoano, Playoffs",29,15608592,uPsHPi,2026-02-28T19:00:00Z,CRB,ASA,3.0,0.0,,completed,True,https://www.sofascore.com/football/match/crb-asa/uPsHPi,2026-05-07T18:35:48.624743Z,asa-al,False,,2026-05-07T18:46:30.438659Z
2026,"Copa Alagoas, Group B",3,15621265,uPsIfQd,2026-03-02T22:00:00Z,SC Penedense,ASA,0.0,1.0,,completed,True,https://www.sofascore.com/football/match/sc-penedense-asa/uPsIfQd,2026-05-07T18:35:48.624760Z,asa-al,False,,2026-05-07T18:46:30.438659Z
2026,"Alagoano, Playoffs",29,15608593,uPsHPi,2026-03-07T19:00:00Z,ASA,CRB,1.0,1.0,,completed,True,https://www.sofascore.com/football/match/crb-asa/uPsHPi,2026-05-07T18:35:48.624778Z,asa-al,True,,2026-05-07T18:46:30.438659Z
2026,"Copa Alagoas, Group B",4,15188493,uPspGJc,2026-03-14T20:00:00Z,ASA,CSE,0.0,0.0,,completed,True,https://www.sofascore.com/football/match/cse-asa/uPspGJc,2026-05-07T18:35:48.624797Z,asa-al,True,,2026-05-07T18:46:30.438659Z
2026,"Copa Alagoas, Group B",5,15188508,uPsxxmd,2026-03-18T18:00:00Z,ASA,Miguelense FC U23,6.0,0.0,,completed,True,https://www.sofascore.com/football/match/miguelense-fc-u23-asa/uPsxxmd,2026-05-07T18:35:48.624814Z,asa-al,True,,2026-05-07T18:46:30.438659Z
2026,"Copa Alagoas, Knockout Stage",28,15853249,uPsKfQd,2026-03-21T20:00:00Z,ASA,CRB B U23,3.0,0.0,,completed,True,https://www.sofascore.com/football/match/crbu23-asa/uPsKfQd,2026-05-07T18:35:48.624834Z,asa-al,True,,2026-05-07T18:46:30.438659Z
2026,Copa do Nordeste,1,15759537,uPsYBAb,2026-03-24T22:30:00Z,ASA,Piauí EC,1.0,0.0,,completed,True,https://www.sofascore.com/football/match/piaui-ec-asa/uPsYBAb,2026-05-07T18:35:48.624856Z,asa-al,True,,2026-05-07T18:46:30.438659Z
2026,Copa do Nordeste,2,15846627,uPsWIu,2026-03-29T21:30:00Z,Botafogo-PB,ASA,2.0,2.0,,completed,True,https://www.sofascore.com/football/match/botafogo-pb-asa/uPsWIu,2026-05-07T18:35:48.624874Z,asa-al,False,,2026-05-07T18:46:30.438659Z
2026,"Copa Alagoas, Knockout Stage",29,15853320,kPsuP,2026-04-01T23:00:00Z,ASA,CSA,2.0,3.0,,completed,True,https://www.sofascore.com/football/match/asa-csa/kPsuP,2026-05-07T18:35:48.624894Z,asa-al,True,,2026-05-07T18:46:30.438659Z
2026,"Brasileirão Série D, Group A10",1,15898302,uPsqTJ,2026-04-04T20:00:00Z,ASA,Jacuipense,0.0,0.0,,completed,True,https://www.sofascore.com/football/match/jacuipense-asa/uPsqTJ,2026-05-07T18:35:48.624910Z,asa-al,True,,2026-05-07T18:46:30.438659Z
2026,Copa do Nordeste,3,15871859,uPsHPi,2026-04-09T22:00:00Z,ASA,CRB,2.0,0.0,,completed,True,https://www.sofascore.com/football/match/crb-asa/uPsHPi,2026-05-07T18:35:48.624927Z,asa-al,True,,2026-05-07T18:46:30.438659Z
2026,"Brasileirão Série D, Group A10",2,15907394,uPspGJc,2026-04-12T19:00:00Z,CSE,ASA,1.0,2.0,,completed,True,https://www.sofascore.com/football/match/cse-asa/uPspGJc,2026-05-07T18:35:48.624943Z,asa-al,False,,2026-05-07T18:46:30.438659Z
2026,Copa do Nordeste,4,15745658,rPsuP,2026-04-15T22:30:00Z,ASA,Confiança,1.0,1.0,,completed,True,https://www.sofascore.com/football/match/asa-confianca/rPsuP,2026-05-07T18:35:48.624967Z,asa-al,True,,2026-05-07T18:46:30.438659Z
2026,"Brasileirão Série D, Group A10",3,15910813,kPsuP,2026-04-19T20:00:00Z,ASA,CSA,2.0,1.0,,completed,True,https://www.sofascore.com/football/match/asa-csa/kPsuP,2026-05-07T18:35:48.624985Z,asa-al,True,,2026-05-07T18:46:30.438659Z
2026,"Brasileirão Série D, Group A10",4,15911147,uPszJz,2026-04-26T18:30:00Z,Juazeirense,ASA,1.0,0.0,,completed,True,https://www.sofascore.com/football/match/juazeirense-asa/uPszJz,2026-05-07T18:35:48.625003Z,asa-al,False,,2026-05-07T18:46:30.438659Z
2026,Copa do Nordeste,5,15868487,uPszJz,2026-04-30T00:30:00Z,Juazeirense,ASA,1.0,1.0,,completed,True,https://www.sofascore.com/football/match/juazeirense-asa/uPszJz,2026-05-07T18:35:48.625022Z,asa-al,False,,2026-05-07T18:46:30.438659Z
2026,"Brasileirão Série D, Group A10",5,15910974,uPsfvxc,2026-05-03T19:00:00Z,Atlético Alagoinhas,ASA,2.0,1.0,,completed,True,https://www.sofascore.com/football/match/atletico-alagoinhas-asa/uPsfvxc,2026-05-07T18:35:48.625041Z,asa-al,False,,2026-05-07T18:46:30.438659Z
2026,"Copa do Nordeste, Knockout stage",27,16098257,jOsuP,2026-05-07T00:30:00Z,Sport Recife,ASA,1.0,0.0,,completed,True,https://www.sofascore.com/football/match/asa-sport-recife/jOsuP,2026-05-07T18:35:48.625059Z,asa-al,False,,2026-05-07T18:46:30.438659Z
2026,"Brasileirão Série D, Group A10",6,15911111,uPsfvxc,2026-05-10T20:00:00Z,ASA,Atlético Alagoinhas,,,,scheduled,False,https://www.sofascore.com/football/match/atletico-alagoinhas-asa/uPsfvxc,2026-05-07T18:35:48.625104Z,asa-al,True,,2026-05-07T18:46:30.438659Z
2026,"Brasileirão Série D, Group A10",7,15910745,uPszJz,2026-05-16T21:00:00Z,ASA,Juazeirense,,,,scheduled,False,https://www.sofascore.com/football/match/juazeirense-asa/uPszJz,2026-05-07T18:35:48.625124Z,asa-al,True,,2026-05-07T18:46:30.438659Z
