season,competition,round,event_id,match_code,home_team,away_team,team_id,team_name,is_home,player_id,player_name,player_slug,position,jersey_number,is_substitute,last_updated_at,minutes_played,rating,total_pass,accurate_pass,total_long_balls,accurate_long_balls,total_shots,goal_assist,saves,touches,possession_lost_ctrl,ball_recovery,expected_assists,pass_value_normalized,dribble_value_normalized,defensive_value_normalized,goalkeeper_value_normalized
2026,"Catarinense, Serie A",1,15138063,pWcsyddc,Avaí,Barra FC,,Avaí,True,1111507,Otávio,otavio,G,21,False,2026-04-10T11:45:54.888365Z,90.0,7.0,14.0,12.0,6.0,4.0,0.0,0.0,3.0,18.0,4.0,5.0,0.0,,,,
2026,"Catarinense, Serie A",1,15138063,pWcsyddc,Avaí,Barra FC,,Avaí,True,988671,Wallison,wallison,D,2,False,2026-04-10T11:45:54.888365Z,90.0,6.1,30.0,22.0,5.0,2.0,0.0,0.0,,40.0,15.0,7.0,0.0,,,,
2026,"Catarinense, Serie A",1,15138063,pWcsyddc,Avaí,Barra FC,,Avaí,True,1588722,Gabriel Pereira Simples,gabriel-pereira-simples,D,4,False,2026-04-10T11:45:54.888365Z,90.0,6.6,40.0,30.0,12.0,7.0,0.0,0.0,,51.0,13.0,7.0,0.0,,,,
2026,"Catarinense, Serie A",1,15138063,pWcsyddc,Avaí,Barra FC,,Avaí,True,809194,Allyson,allyson,D,3,False,2026-04-10T11:45:54.888365Z,90.0,7.2,39.0,36.0,4.0,2.0,0.0,0.0,,48.0,8.0,19.0,0.0,,,,
2026,"Catarinense, Serie A",1,15138063,pWcsyddc,Avaí,Barra FC,,Avaí,True,1609565,Douglas Teixeira,douglas-da-silva-teixeira,D,36,False,2026-04-10T11:45:54.888365Z,82.0,6.7,27.0,20.0,4.0,2.0,0.0,0.0,,36.0,13.0,9.0,0.0,,,,
2026,"Catarinense, Serie A",1,15138063,pWcsyddc,Avaí,Barra FC,,Avaí,True,840132,Zé Ricardo,ze-ricardo,M,77,False,2026-04-10T11:45:54.888365Z,90.0,7.2,37.0,29.0,8.0,5.0,0.0,0.0,,52.0,10.0,10.0,0.0,,,,
2026,"Catarinense, Serie A",1,15138063,pWcsyddc,Avaí,Barra FC,,Avaí,True,1633708,Thayllon Roberth,thayllon-roberth-dos-santos-rebelo,M,43,False,2026-04-10T11:45:54.888365Z,60.0,7.3,10.0,6.0,2.0,1.0,0.0,1.0,,23.0,8.0,3.0,0.61,,,,
2026,"Catarinense, Serie A",1,15138063,pWcsyddc,Avaí,Barra FC,,Avaí,True,1466534,Pedro Cuiabá,pedro-cuiaba,M,27,False,2026-04-10T11:45:54.888365Z,60.0,6.2,16.0,12.0,1.0,0.0,0.0,0.0,,27.0,8.0,4.0,0.0,,,,
2026,"Catarinense, Serie A",1,15138063,pWcsyddc,Avaí,Barra FC,,Avaí,True,902684,Jean Lucas,jean-lucas,M,10,False,2026-04-10T11:45:54.888365Z,82.0,6.3,44.0,30.0,11.0,5.0,1.0,0.0,,62.0,19.0,7.0,0.03,,,,
2026,"Catarinense, Serie A",1,15138063,pWcsyddc,Avaí,Barra FC,,Avaí,True,1050353,Maurício Garcez,mauricio-garcez,M,7,False,2026-04-10T11:45:54.888365Z,90.0,8.2,10.0,6.0,0.0,0.0,4.0,1.0,,33.0,14.0,0.0,0.02,,,,
2026,"Catarinense, Serie A",1,15138063,pWcsyddc,Avaí,Barra FC,,Avaí,True,2338346,Josmar,josmar,F,70,False,2026-04-10T11:45:54.888365Z,68.0,7.0,2.0,1.0,0.0,0.0,1.0,0.0,,12.0,3.0,0.0,0.0,,,,
2026,"Catarinense, Serie A",1,15138063,pWcsyddc,Avaí,Barra FC,,Avaí,True,1463902,Talisson,talisson,M,11,True,2026-04-10T11:45:54.888365Z,37.0,6.3,9.0,3.0,1.0,0.0,0.0,0.0,,17.0,7.0,1.0,0.0,,,,
2026,"Catarinense, Serie A",1,15138063,pWcsyddc,Avaí,Barra FC,,Avaí,True,2454234,Kauã Dias,kaua-dias,M,72,True,2026-04-10T11:45:54.888365Z,37.0,6.5,6.0,4.0,1.0,0.0,0.0,0.0,,8.0,2.0,7.0,0.0,,,,
2026,"Catarinense, Serie A",1,15138063,pWcsyddc,Avaí,Barra FC,,Avaí,True,1467756,Gaspar,gaspar,M,20,True,2026-04-10T11:45:54.888365Z,29.0,6.6,4.0,4.0,1.0,1.0,0.0,0.0,,8.0,1.0,2.0,0.0,,,,
2026,"Catarinense, Serie A",1,15138063,pWcsyddc,Avaí,Barra FC,,Avaí,True,1882211,Jamerson dos Santos Nascimento,jamerson-dos-santos-nascimento,M,16,True,2026-04-10T11:45:54.888365Z,14.0,6.4,3.0,3.0,0.0,0.0,0.0,0.0,,4.0,0.0,1.0,0.0,,,,
2026,"Catarinense, Serie A",1,15138063,pWcsyddc,Avaí,Barra FC,,Avaí,True,1588022,João Pedro,joao-pedro,D,46,True,2026-04-10T11:45:54.888365Z,14.0,6.1,5.0,3.0,0.0,0.0,0.0,0.0,,8.0,5.0,1.0,0.0,,,,
2026,"Catarinense, Serie A",1,15138063,pWcsyddc,Avaí,Barra FC,,Avaí,True,1488035,Léo Aragão,leo-aragao,G,41,True,2026-04-10T11:45:54.888365Z,,,,,,,,,,,,,,,,,
2026,"Catarinense, Serie A",1,15138063,pWcsyddc,Avaí,Barra FC,,Avaí,True,1631814,Kauã Fernandes Cardoso,kaua-fernandes-cardoso,M,22,True,2026-04-10T11:45:54.888365Z,,,,,,,,,,,,,,,,,
2026,"Catarinense, Serie A",1,15138063,pWcsyddc,Avaí,Barra FC,,Avaí,True,1805162,Vinicius Gugel,vinicius-gugel-da-silva,M,19,True,2026-04-10T11:45:54.888365Z,,,,,,,,,,,,,,,,,
