season,competition_name,competition_round,event_id,match_code,match_date_utc,home_team,away_team,home_score,away_score,venue_name,status,is_completed,source_url,last_updated_at,team_key,is_home_team,team_outcome,transformed_at
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,2026-01-10T19:30:00Z,Floresta,Ceará,0.0,1.0,,completed,True,https://www.sofascore.com/football/match/floresta-ceara/bPsLKjc,2026-04-30T13:05:40.833311Z,ceara,False,,2026-04-30T13:20:19.019916Z
2026,"Cearense, Serie A, Group B",3,15134190,bPsudn,2026-01-15T00:30:00Z,Ceará,Maranguape,1.0,0.0,,completed,True,https://www.sofascore.com/football/match/maranguape-ceara/bPsudn,2026-04-30T13:05:40.833332Z,ceara,True,,2026-04-30T13:20:19.019916Z
2026,"Cearense, Serie A, Group B",4,15134194,bPsMKjc,2026-01-17T19:30:00Z,Ceará,AD Iguatu,1.0,1.0,,completed,True,https://www.sofascore.com/football/match/ad-iguatu-ceara/bPsMKjc,2026-04-30T13:05:40.833345Z,ceara,True,,2026-04-30T13:20:19.019916Z
2026,"Cearense, Serie A, Group B",5,15134198,bPsvnjd,2026-01-22T00:30:00Z,Tirol/CEFAT,Ceará,1.0,4.0,,completed,True,https://www.sofascore.com/football/match/tirolcefat-ceara/bPsvnjd,2026-04-30T13:05:40.833356Z,ceara,False,,2026-04-30T13:20:19.019916Z
2026,"Cearense, Serie A, Championship Round",1,15414825,bPsxdn,2026-01-25T21:00:00Z,Ferroviário,Ceará,1.0,5.0,,completed,True,https://www.sofascore.com/football/match/ferroviario-ceara/bPsxdn,2026-04-30T13:05:40.833367Z,ceara,False,,2026-04-30T13:20:19.019916Z
2026,"Cearense, Serie A, Championship Round",2,15414824,bPstOi,2026-02-01T21:00:00Z,Ceará,Horizonte FC,4.0,0.0,,completed,True,https://www.sofascore.com/football/match/horizonte-fc-ceara/bPstOi,2026-04-30T13:05:40.833377Z,ceara,True,,2026-04-30T13:20:19.019916Z
2026,"Cearense, Serie A, Championship Round",3,15415269,bPsvP,2026-02-08T21:00:00Z,Ceará,Fortaleza,0.0,0.0,,completed,True,https://www.sofascore.com/football/match/fortaleza-ceara/bPsvP,2026-04-30T13:05:40.833387Z,ceara,True,,2026-04-30T13:20:19.019916Z
2026,"Cearense, Serie A, Playoffs",28,15512880,bPsLKjc,2026-02-15T19:00:00Z,Floresta,Ceará,0.0,3.0,,completed,True,https://www.sofascore.com/football/match/floresta-ceara/bPsLKjc,2026-04-30T13:05:40.833397Z,ceara,False,,2026-04-30T13:20:19.019916Z
2026,"Cearense, Serie A, Playoffs",28,15512882,bPsLKjc,2026-02-22T21:00:00Z,Ceará,Floresta,4.0,0.0,,completed,True,https://www.sofascore.com/football/match/floresta-ceara/bPsLKjc,2026-04-30T13:05:40.833408Z,ceara,True,,2026-04-30T13:20:19.019916Z
2026,Copa Betano do Brasil,2,15592346,bPsCAAb,2026-02-26T23:00:00Z,Ceará,EC Primavera,2.0,1.0,,completed,True,https://www.sofascore.com/football/match/ec-primavera-ceara/bPsCAAb,2026-04-30T13:05:40.833418Z,ceara,True,,2026-04-30T13:20:19.019916Z
2026,"Cearense, Serie A, Playoffs",29,15603895,bPsvP,2026-03-01T21:00:00Z,Fortaleza,Ceará,1.0,1.0,,completed,True,https://www.sofascore.com/football/match/fortaleza-ceara/bPsvP,2026-04-30T13:05:40.833428Z,ceara,False,,2026-04-30T13:20:19.019916Z
2026,"Cearense, Serie A, Playoffs",29,15608570,bPsvP,2026-03-08T21:00:00Z,Ceará,Fortaleza,5.0,6.0,,completed,True,https://www.sofascore.com/football/match/fortaleza-ceara/bPsvP,2026-04-30T13:05:40.833442Z,ceara,True,,2026-04-30T13:20:19.019916Z
2026,Copa Betano do Brasil,3,15677063,bPsiMi,2026-03-12T22:30:00Z,Maranhão AC,Ceará,0.0,1.0,,completed,True,https://www.sofascore.com/football/match/maranhao-ac-ceara/bPsiMi,2026-04-30T13:05:40.833451Z,ceara,False,,2026-04-30T13:20:19.019916Z
2026,Copa Betano do Brasil,4,15730739,bPseau,2026-03-17T22:30:00Z,São Bernardo,Ceará,2.0,3.0,,completed,True,https://www.sofascore.com/football/match/sao-bernardo-ceara/bPseau,2026-04-30T13:05:40.833460Z,ceara,False,,2026-04-30T13:20:19.019916Z
2026,Brasileirão Série B,1,15525988,bPseau,2026-03-21T21:00:00Z,Ceará,São Bernardo,1.0,1.0,,completed,True,https://www.sofascore.com/football/match/sao-bernardo-ceara/bPseau,2026-04-30T13:05:40.833470Z,ceara,True,,2026-04-30T13:20:19.019916Z
2026,Copa do Nordeste,1,15791241,bPsNLi,2026-03-25T22:00:00Z,Ceará,ABC,1.0,1.0,,completed,True,https://www.sofascore.com/football/match/abc-ceara/bPsNLi,2026-04-30T13:05:40.833480Z,ceara,True,,2026-04-30T13:20:19.019916Z
2026,Copa do Nordeste,2,15840664,bPsOWEc,2026-03-28T20:00:00Z,Retrô,Ceará,3.0,1.0,,completed,True,https://www.sofascore.com/football/match/retro-ceara/bPsOWEc,2026-04-30T13:05:40.833490Z,ceara,False,,2026-04-30T13:20:19.019916Z
2026,Brasileirão Série B,2,15525995,uOsbP,2026-04-02T00:00:00Z,Ponte Preta,Ceará,1.0,1.0,,completed,True,https://www.sofascore.com/football/match/ceara-ponte-preta/uOsbP,2026-04-30T13:05:40.833500Z,ceara,False,,2026-04-30T13:20:19.019916Z
2026,Brasileirão Série B,3,15526013,bPscJu,2026-04-04T21:00:00Z,Cuiabá,Ceará,0.0,2.0,,completed,True,https://www.sofascore.com/football/match/cuiaba-ceara/bPscJu,2026-04-30T13:05:40.833511Z,ceara,False,,2026-04-30T13:20:19.019916Z
2026,Copa do Nordeste,3,15871850,bPsvP,2026-04-09T00:30:00Z,Ceará,Fortaleza,2.0,0.0,,completed,True,https://www.sofascore.com/football/match/fortaleza-ceara/bPsvP,2026-04-30T13:05:40.833521Z,ceara,True,,2026-04-30T13:20:19.019916Z
2026,Brasileirão Série B,4,15526019,bPslP,2026-04-11T23:30:00Z,Ceará,Náutico,1.0,0.0,,completed,True,https://www.sofascore.com/football/match/nautico-ceara/bPslP,2026-04-30T13:05:40.833530Z,ceara,True,,2026-04-30T13:20:19.019916Z
2026,Copa do Nordeste,4,15871860,bPsqTJ,2026-04-15T00:30:00Z,Ceará,Jacuipense,4.0,1.0,,completed,True,https://www.sofascore.com/football/match/jacuipense-ceara/bPsqTJ,2026-04-30T13:05:40.833540Z,ceara,True,,2026-04-30T13:20:19.019916Z
2026,Brasileirão Série B,5,15526028,bPsxP,2026-04-19T19:00:00Z,Londrina,Ceará,0.0,0.0,,completed,True,https://www.sofascore.com/football/match/londrina-ceara/bPsxP,2026-04-30T13:05:40.833550Z,ceara,False,,2026-04-30T13:20:19.019916Z
