season,competition,round,event_id,match_code,home_team,away_team,team_id,team_name,is_home,player_id,player_name,player_slug,position,jersey_number,is_substitute,last_updated_at,minutes_played,rating,total_pass,accurate_pass,total_long_balls,accurate_long_balls,goal_assist,accurate_own_half_passes,total_own_half_passes,accurate_opposition_half_passes,total_opposition_half_passes,total_progression,total_ball_carries_distance,total_progressive_ball_carries_distance,progressive_ball_carries_count,best_ball_carry_progression,ball_carries_count,total_shots,total_clearance,duel_won,was_fouled,saves,touches,possession_lost_ctrl,ball_recovery,expected_assists,pass_value_normalized,dribble_value_normalized,defensive_value_normalized,goalkeeper_value_normalized,keeper_save_value,goals_prevented
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Floresta,True,1798047,Jeferson Souza,jeferson,G,1,False,2026-04-30T13:16:57.949252Z,90.0,6.6,12.0,9.0,4.0,1.0,0.0,8.0,8.0,1.0,4.0,,,,,,,0.0,1.0,,,1.0,22.0,4.0,5.0,0.0,0.01,,-0.01,0.09,0.0727,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Floresta,True,1112391,Marco Antônio,marco-antonio,D,27,False,2026-04-30T13:16:57.949252Z,90.0,6.5,41.0,33.0,6.0,2.0,0.0,14.0,15.0,19.0,26.0,28.665,72.445280564991,31.922105256389,1.0,23.73,9.0,1.0,6.0,3.0,1.0,,54.0,9.0,1.0,0.0,0.15,0.01,-0.16,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Floresta,True,1523873,Eduardo,eduardo-henrique-silverio,D,3,False,2026-04-30T13:16:57.949252Z,90.0,6.7,37.0,31.0,5.0,1.0,0.0,21.0,24.0,10.0,13.0,21.735,131.51208686913,,,13.65,17.0,0.0,9.0,3.0,,,51.0,7.0,1.0,0.0,0.04,0.04,0.18,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Floresta,True,1514505,João Victor,joao-victor-eliziario-valeriano-de-oliveira,D,4,False,2026-04-30T13:16:57.949252Z,90.0,6.7,43.0,34.0,9.0,2.0,0.0,16.0,16.0,18.0,27.0,43.68,115.43686064627,,,16.38,16.0,0.0,4.0,3.0,,,56.0,9.0,1.0,0.0,0.18,0.03,-0.01,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Floresta,True,875230,Cedric,ilson-cedric,M,14,False,2026-04-30T13:16:57.949252Z,75.0,6.9,22.0,16.0,4.0,2.0,0.0,4.0,4.0,12.0,18.0,82.11,100.20872372667,19.449882673168,1.0,19.32,10.0,1.0,,1.0,,,57.0,18.0,4.0,0.2,0.34,0.09,0.0,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Floresta,True,1017015,Danrley,danrley,M,5,False,2026-04-30T13:16:57.949252Z,75.0,6.8,26.0,25.0,,,0.0,10.0,11.0,15.0,15.0,-27.72,52.382232764172,,,-0.735,9.0,0.0,1.0,6.0,2.0,,37.0,3.0,2.0,0.0,0.05,0.0,0.17,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Floresta,True,882657,Guilherme Borges,guilherme-borges,M,8,False,2026-04-30T13:16:57.949252Z,90.0,6.9,50.0,46.0,1.0,,0.0,20.0,20.0,26.0,30.0,-0.83999999999997,89.243168632708,,,8.085,15.0,2.0,1.0,4.0,,,59.0,4.0,4.0,0.0,0.03,0.08,-0.01,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Floresta,True,1164681,Eliandro Carvalho,eliandro-carvalho,M,15,False,2026-04-30T13:16:57.949252Z,90.0,7.2,31.0,28.0,3.0,2.0,0.0,8.0,8.0,20.0,23.0,65.415,104.71421415051,18.03492281658,1.0,13.44,13.0,2.0,2.0,8.0,2.0,,69.0,13.0,1.0,0.74,0.32,0.1,-0.02,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Floresta,True,1588010,Diogo Mourão de Lima,diogo-mourao-de-lima,F,25,False,2026-04-30T13:16:57.949252Z,62.0,6.6,8.0,6.0,,,0.0,,,6.0,8.0,51.765,76.615186524339,52.94484187763,2.0,33.075,6.0,0.0,,4.0,1.0,,20.0,8.0,1.0,0.0,-0.04,0.13,0.14,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Floresta,True,1463922,João Celeri,joao-celeri,F,9,False,2026-04-30T13:16:57.949252Z,75.0,6.6,15.0,10.0,,,0.0,3.0,4.0,7.0,11.0,61.53,80.301690499495,40.834311048715,2.0,29.295,8.0,1.0,1.0,6.0,2.0,,27.0,12.0,2.0,0.01,-0.13,0.18,0.13,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Floresta,True,830260,Bismark,bismark,F,7,False,2026-04-30T13:16:57.949252Z,75.0,6.1,14.0,12.0,1.0,,0.0,1.0,1.0,11.0,13.0,66.36,81.496588902184,49.900496750847,3.0,26.775,8.0,4.0,1.0,4.0,2.0,,39.0,12.0,1.0,0.0,-0.15,0.15,-0.07,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Floresta,True,923853,Matheusinho,matheusinho,F,10,True,2026-04-30T13:16:57.949252Z,28.0,6.6,21.0,16.0,2.0,,0.0,2.0,2.0,14.0,19.0,53.655,72.70678706739,,,12.6,9.0,1.0,,2.0,1.0,,33.0,13.0,2.0,0.0,0.07,0.08,0.14,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Floresta,True,1631589,Marcelo Augusto Maia Almeida,marcelo-augusto-maia-almeida,D,16,True,2026-04-30T13:16:57.949252Z,15.0,6.8,8.0,7.0,1.0,,0.0,2.0,3.0,5.0,5.0,-2.94,7.5164502392781,,,0.20999999999999,2.0,0.0,,2.0,,,13.0,1.0,2.0,0.0,-0.05,0.01,0.18,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Floresta,True,931478,Nonato,raimundo-nonato,M,17,True,2026-04-30T13:16:57.949252Z,15.0,6.6,7.0,7.0,,,0.0,2.0,2.0,5.0,5.0,-10.71,30.601677999537,,,6.195,3.0,0.0,,1.0,,,9.0,1.0,,0.0,0.02,0.0,0.13,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Floresta,True,1545989,Vitinho,vitinho,M,20,True,2026-04-30T13:16:57.949252Z,15.0,6.6,6.0,6.0,,,0.0,1.0,1.0,5.0,5.0,20.37,38.847936011948,,,11.76,3.0,1.0,,3.0,1.0,,11.0,2.0,1.0,0.0,-0.02,0.03,0.14,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Floresta,True,2433286,Thailor,thailor,F,18,True,2026-04-30T13:16:57.949252Z,15.0,6.6,3.0,3.0,,,0.0,1.0,1.0,2.0,2.0,-2.94,4.2927827804351,,,-2.94,1.0,1.0,1.0,2.0,,,7.0,1.0,,,-0.03,0.0,0.16,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Floresta,True,1656714,Bruno Araujo Silva,bruno,G,22,True,2026-04-30T13:16:57.949252Z,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Floresta,True,840032,Tiepo,tiepo,G,12,True,2026-04-30T13:16:57.949252Z,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Floresta,True,1891553,Arilson,arilson,D,30,True,2026-04-30T13:16:57.949252Z,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Floresta,True,2433438,Rafael Índio,rafael-indio,D,28,True,2026-04-30T13:16:57.949252Z,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Floresta,True,2440235,Emerson,emerson,M,21,True,2026-04-30T13:16:57.949252Z,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Floresta,True,1546666,Daniel Troiano,daniel-caue-troiano-farias,F,19,True,2026-04-30T13:16:57.949252Z,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Ceará,False,2537130,Gustavo Dias Martins,gustavo-dias-martins,G,41,False,2026-04-30T13:16:57.949252Z,90.0,6.8,33.0,25.0,13.0,6.0,0.0,23.0,25.0,2.0,8.0,12.705,36.045639712621,,,7.77,7.0,0.0,2.0,,,4.0,41.0,9.0,7.0,,0.04,0.03,0.14,-0.02,-0.0031,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Ceará,False,2537131,Aloísio Barbosa de Abreu Neto,aloisio-barbosa-de-abreu-neto,D,86,False,2026-04-30T13:16:57.949252Z,90.0,7.0,28.0,23.0,2.0,2.0,0.0,10.0,11.0,13.0,17.0,102.9,149.61719725116,,,25.935,14.0,0.0,4.0,5.0,1.0,,56.0,13.0,3.0,0.0,0.49,0.1,-0.12,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Ceará,False,1631204,Vinicius Menezes Uchella,vinicius-uchella,D,45,False,2026-04-30T13:16:57.949252Z,90.0,7.3,47.0,43.0,5.0,1.0,0.0,27.0,28.0,16.0,19.0,170.625,252.62660499641,,,17.115,30.0,0.0,7.0,3.0,,,58.0,4.0,2.0,,0.11,0.16,0.33,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Ceará,False,1591290,Gabriel Silva Rocha,gabriel-silva-rocha,D,71,False,2026-04-30T13:16:57.949252Z,90.0,7.2,44.0,40.0,6.0,3.0,0.0,28.0,29.0,12.0,15.0,57.435,135.65454913702,,,10.395,20.0,2.0,11.0,6.0,1.0,,62.0,6.0,2.0,0.0,0.16,0.05,0.31,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Ceará,False,2454226,Samuel,samuel,D,51,False,2026-04-30T13:16:57.949252Z,87.0,7.1,25.0,19.0,2.0,,0.0,8.0,10.0,11.0,15.0,35.595,67.824548034413,,,7.98,11.0,0.0,2.0,6.0,2.0,,60.0,15.0,3.0,,0.04,-0.22,0.32,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Ceará,False,2440251,Melk,melk,M,40,False,2026-04-30T13:16:57.949252Z,90.0,6.4,16.0,12.0,2.0,2.0,1.0,4.0,5.0,8.0,11.0,55.335,121.97271810063,38.611014601329,2.0,26.145,12.0,3.0,,1.0,,,31.0,13.0,3.0,,0.24,0.02,-0.05,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Ceará,False,1631189,Enzo Valentim Lodovico,enzo-lodovico,M,23,False,2026-04-30T13:16:57.949252Z,80.0,6.9,16.0,10.0,,,0.0,4.0,5.0,6.0,11.0,114.45,153.57936566802,68.065919032472,2.0,37.695,11.0,2.0,2.0,4.0,1.0,,33.0,11.0,5.0,,-0.36,0.19,0.17,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Ceará,False,2025593,Pedro Esli da Silva,pedro-esli-da-silva,M,88,False,2026-04-30T13:16:57.949252Z,90.0,6.1,15.0,8.0,2.0,,0.0,1.0,2.0,7.0,13.0,7.245,49.337255076318,,,12.39,7.0,2.0,2.0,3.0,1.0,,25.0,10.0,1.0,,-0.05,0.01,-0.05,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Ceará,False,2118168,João Gabriel,joao-gabriel,M,81,False,2026-04-30T13:16:57.949252Z,90.0,7.1,29.0,16.0,5.0,2.0,0.0,6.0,8.0,10.0,21.0,38.43,112.41876852009,,,21.63,10.0,2.0,3.0,8.0,2.0,,51.0,17.0,4.0,,0.04,0.03,0.18,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Ceará,False,1631766,Giulio,giulio-gabriel-da-silva,M,35,False,2026-04-30T13:16:57.949252Z,90.0,7.6,17.0,15.0,,,0.0,4.0,5.0,11.0,12.0,11.235,81.616255390598,18.30755647267,1.0,13.335,9.0,2.0,,6.0,2.0,,32.0,8.0,,0.18,0.58,0.25,0.0,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Ceará,False,2454253,Gabriel Amaral,gabriel-amaral,F,80,False,2026-04-30T13:16:57.949252Z,80.0,6.8,13.0,10.0,,,0.0,4.0,5.0,6.0,8.0,5.355,41.897827560216,,,11.235,5.0,0.0,1.0,5.0,1.0,,19.0,4.0,1.0,0.0,0.18,0.05,0.17,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Ceará,False,1836635,Rian Patric,rian-patric,M,47,True,2026-04-30T13:16:57.949252Z,10.0,6.4,2.0,2.0,,,0.0,1.0,1.0,1.0,1.0,2.625,11.02827508083,,,2.1,2.0,0.0,,,,,5.0,3.0,1.0,,0.0,-0.02,0.13,,,
2026,"Cearense, Serie A, Group B",2,15134186,bPsLKjc,Floresta,Ceará,,Ceará,False,1657072,Kauã Ziegler,kaua,F,90,True,2026-04-30T13:16:57.949252Z,10.0,6.6,5.0,4.0,,,0.0,,1.0,4.0,4.0,-1.05,15.644656239819,,,4.725,2.0,0.0,,1.0,,,8.0,2.0,,0.0,0.0,0.02,0.13,,,
