season,competition,round,match_id,team_name,is_home,possession,expected_goals,shots_total,shots_on_target,corners,fouls,passes_total,passes_accurate,tackles_total,yellow_cards,red_cards,source_url,data_status,last_updated_at
2026,"Cearense, Serie A, Group B",2,bPsLKjc,Floresta,True,68.0,1.57,13.0,9.0,6.0,22.0,578.0,505.0,13.0,1.0,0.0,https://www.sofascore.com/football/match/floresta-ceara/bPsLKjc,advanced_stats_confirmed,2026-04-30T13:05:40.833311Z
2026,"Cearense, Serie A, Group B",2,bPsLKjc,Ceará,False,32.0,1.91,8.0,2.0,3.0,10.0,261.0,209.0,5.0,3.0,0.0,https://www.sofascore.com/football/match/floresta-ceara/bPsLKjc,advanced_stats_confirmed,2026-04-30T13:05:40.833311Z
2026,"Cearense, Serie A, Group B",3,bPsudn,Ceará,True,64.0,2.31,16.0,4.0,4.0,14.0,527.0,473.0,21.0,2.0,0.0,https://www.sofascore.com/football/match/maranguape-ceara/bPsudn,advanced_stats_confirmed,2026-04-30T13:05:40.833332Z
2026,"Cearense, Serie A, Group B",3,bPsudn,Maranguape,False,36.0,0.06,5.0,2.0,2.0,17.0,301.0,252.0,15.0,2.0,0.0,https://www.sofascore.com/football/match/maranguape-ceara/bPsudn,advanced_stats_confirmed,2026-04-30T13:05:40.833332Z
2026,"Cearense, Serie A, Group B",4,bPsMKjc,Ceará,True,66.0,1.96,13.0,3.0,5.0,21.0,474.0,412.0,9.0,2.0,0.0,https://www.sofascore.com/football/match/ad-iguatu-ceara/bPsMKjc,advanced_stats_confirmed,2026-04-30T13:05:40.833345Z
2026,"Cearense, Serie A, Group B",4,bPsMKjc,AD Iguatu,False,34.0,0.42,6.0,5.0,0.0,19.0,259.0,204.0,18.0,5.0,0.0,https://www.sofascore.com/football/match/ad-iguatu-ceara/bPsMKjc,advanced_stats_confirmed,2026-04-30T13:05:40.833345Z
2026,"Cearense, Serie A, Group B",5,bPsvnjd,Tirol/CEFAT,True,30.0,1.38,10.0,4.0,4.0,14.0,230.0,190.0,20.0,2.0,0.0,https://www.sofascore.com/football/match/tirolcefat-ceara/bPsvnjd,advanced_stats_confirmed,2026-04-30T13:05:40.833356Z
2026,"Cearense, Serie A, Group B",5,bPsvnjd,Ceará,False,70.0,1.78,17.0,6.0,7.0,16.0,543.0,490.0,19.0,3.0,0.0,https://www.sofascore.com/football/match/tirolcefat-ceara/bPsvnjd,advanced_stats_confirmed,2026-04-30T13:05:40.833356Z
2026,"Cearense, Serie A, Championship Round",1,bPsxdn,Ferroviário,True,48.0,1.07,13.0,5.0,3.0,13.0,356.0,309.0,14.0,3.0,0.0,https://www.sofascore.com/football/match/ferroviario-ceara/bPsxdn,advanced_stats_confirmed,2026-04-30T13:05:40.833367Z
2026,"Cearense, Serie A, Championship Round",1,bPsxdn,Ceará,False,52.0,2.54,11.0,5.0,2.0,21.0,405.0,348.0,12.0,1.0,0.0,https://www.sofascore.com/football/match/ferroviario-ceara/bPsxdn,advanced_stats_confirmed,2026-04-30T13:05:40.833367Z
