season,competition,round,event_id,match_code,home_team,away_team,team_id,team_name,is_home,player_id,player_name,player_slug,position,jersey_number,is_substitute,last_updated_at,minutes_played,rating,total_pass,accurate_pass,total_long_balls,accurate_long_balls,goal_assist,accurate_own_half_passes,total_own_half_passes,accurate_opposition_half_passes,total_opposition_half_passes,total_progression,total_ball_carries_distance,total_progressive_ball_carries_distance,progressive_ball_carries_count,best_ball_carry_progression,ball_carries_count,total_shots,total_clearance,duel_won,was_fouled,saves,touches,possession_lost_ctrl,ball_recovery,expected_assists,pass_value_normalized,dribble_value_normalized,defensive_value_normalized,goalkeeper_value_normalized,keeper_save_value,goals_prevented
2026,"Cearense, Serie A, Championship Round",3,15415269,bPsvP,Ceará,Fortaleza,,Ceará,True,883906,Richard,richard,G,1,False,2026-04-28T19:58:13.636188Z,90.0,6.9,11.0,11.0,2.0,2.0,0.0,10.0,10.0,1.0,1.0,10.467827541866,19.088665411528,,0.0,,3.0,0.0,1.0,2.0,1.0,,19.0,,5.0,,0.01,0.0,0.27,,,
2026,"Cearense, Serie A, Championship Round",3,15415269,bPsvP,Ceará,Fortaleza,,Ceará,True,788195,Rafael Ramos,rafael-ramos,D,2,False,2026-04-28T19:58:13.636188Z,81.0,7.0,45.0,44.0,6.0,6.0,0.0,28.0,28.0,16.0,17.0,134.79285643682,222.34942606073,50.580034039271,2.0,26.741604464037,26.0,1.0,5.0,1.0,1.0,,77.0,16.0,3.0,,0.25,0.14,0.13,,,
2026,"Cearense, Serie A, Championship Round",3,15415269,bPsvP,Ceará,Fortaleza,,Ceará,True,1589365,Pedro Gilmar,pedro-gilmar-de-souza-amorim-neto,D,63,False,2026-04-28T19:58:13.636188Z,90.0,6.9,44.0,39.0,8.0,5.0,0.0,33.0,34.0,6.0,10.0,108.79372349542,139.48032428979,,0.0,,20.0,0.0,6.0,2.0,,,52.0,6.0,,,0.13,0.06,0.16,,,
2026,"Cearense, Serie A, Championship Round",3,15415269,bPsvP,Ceará,Fortaleza,,Ceará,True,842072,Éder,eder-ferreira,D,33,False,2026-04-28T19:58:13.636188Z,90.0,7.5,59.0,50.0,15.0,8.0,0.0,38.0,41.0,12.0,18.0,121.73693291113,212.3565446045,29.974037032072,1.0,28.346695840394,26.0,0.0,5.0,4.0,1.0,,72.0,10.0,1.0,,0.11,0.07,0.37,,,
2026,"Cearense, Serie A, Championship Round",3,15415269,bPsvP,Ceará,Fortaleza,,Ceará,True,1017746,Fernando,fernando,D,17,False,2026-04-28T19:58:13.636188Z,90.0,7.8,58.0,52.0,6.0,2.0,0.0,26.0,26.0,26.0,32.0,71.990372750003,153.75031607236,,0.0,,20.0,0.0,1.0,11.0,4.0,,84.0,11.0,4.0,,0.2,-0.14,0.27,,,
2026,"Cearense, Serie A, Championship Round",3,15415269,bPsvP,Ceará,Fortaleza,,Ceará,True,1048254,Lucas Lima,lucas-lima,M,31,False,2026-04-28T19:58:13.636188Z,81.0,6.5,21.0,20.0,1.0,1.0,0.0,8.0,9.0,12.0,12.0,-2.6726796121486,32.071681993208,,0.0,,3.0,1.0,1.0,2.0,1.0,,37.0,5.0,2.0,,0.01,0.01,0.19,,,
2026,"Cearense, Serie A, Championship Round",3,15415269,bPsvP,Ceará,Fortaleza,,Ceará,True,973841,Vinicius Zanocelo,vinicius-zanocelo,M,25,False,2026-04-28T19:58:13.636188Z,90.0,7.2,51.0,45.0,7.0,4.0,0.0,17.0,17.0,28.0,34.0,53.399716395475,94.604302409091,11.493743036975,1.0,10.42376588178,15.0,0.0,1.0,6.0,,,61.0,6.0,1.0,,-0.06,0.1,0.33,,,
2026,"Cearense, Serie A, Championship Round",3,15415269,bPsvP,Ceará,Fortaleza,,Ceará,True,219190,Pedro Henrique,pedro-henrique,M,7,False,2026-04-28T19:58:13.636188Z,69.0,7.0,17.0,12.0,,,0.0,5.0,6.0,7.0,11.0,55.846093524727,99.410476349875,36.488709442417,2.0,21.918513337042,11.0,0.0,,9.0,2.0,,31.0,11.0,3.0,,-0.03,0.15,0.15,,,
2026,"Cearense, Serie A, Championship Round",3,15415269,bPsvP,Ceará,Fortaleza,,Ceará,True,1101714,Vina,vina,M,29,False,2026-04-28T19:58:13.636188Z,90.0,7.2,40.0,33.0,6.0,6.0,0.0,11.0,11.0,22.0,29.0,26.871998105877,67.967877345959,,0.0,,10.0,2.0,1.0,2.0,,,50.0,11.0,5.0,,0.26,0.16,0.2,,,
2026,"Cearense, Serie A, Championship Round",3,15415269,bPsvP,Ceará,Fortaleza,,Ceará,True,871219,Fernandinho,fernandinho,M,11,False,2026-04-28T19:58:13.636188Z,62.0,6.6,9.0,7.0,,,0.0,3.0,3.0,4.0,6.0,-10.802526119924,81.802877884786,,0.0,,10.0,1.0,,6.0,2.0,,23.0,8.0,3.0,,-0.04,-0.35,0.14,,,
