season,competition,round,match_id,team_name,is_home,possession,expected_goals,shots_total,shots_on_target,corners,fouls,passes_total,passes_accurate,tackles_total,yellow_cards,red_cards,source_url,data_status,last_updated_at
2026,"Cearense, Serie A, Group A",2,vPsxdn,Ferroviário,True,54.0,1.27,13.0,5.0,5.0,15.0,399.0,337.0,5.0,1.0,0.0,https://www.sofascore.com/football/match/ferroviario-fortaleza/vPsxdn,advanced_stats_confirmed,2026-04-28T19:32:21.743390Z
2026,"Cearense, Serie A, Group A",2,vPsxdn,Fortaleza,False,46.0,1.86,12.0,5.0,4.0,21.0,340.0,279.0,6.0,4.0,0.0,https://www.sofascore.com/football/match/ferroviario-fortaleza/vPsxdn,advanced_stats_confirmed,2026-04-28T19:32:21.743390Z
2026,"Cearense, Serie A, Group A",3,vPsvdn,Fortaleza,True,63.0,2.97,20.0,8.0,8.0,18.0,562.0,512.0,13.0,2.0,0.0,https://www.sofascore.com/football/match/quixada-fortaleza/vPsvdn,advanced_stats_confirmed,2026-04-28T19:32:21.743415Z
2026,"Cearense, Serie A, Group A",3,vPsvdn,Quixadá,False,37.0,0.5,9.0,0.0,1.0,11.0,338.0,274.0,18.0,3.0,0.0,https://www.sofascore.com/football/match/quixada-fortaleza/vPsvdn,advanced_stats_confirmed,2026-04-28T19:32:21.743415Z
2026,"Cearense, Serie A, Group A",4,vPsgTJ,Fortaleza,True,,,,,,,,,,,,https://www.sofascore.com/football/match/maracana-fortaleza/vPsgTJ,advanced_stats_missing,2026-04-28T19:32:21.743429Z
2026,"Cearense, Serie A, Group A",4,vPsgTJ,Maracanã,False,,,,,,,,,,,,https://www.sofascore.com/football/match/maracana-fortaleza/vPsgTJ,advanced_stats_missing,2026-04-28T19:32:21.743429Z
2026,"Cearense, Serie A, Group A",5,vPstOi,Horizonte FC,True,38.0,0.06,3.0,1.0,1.0,12.0,270.0,199.0,15.0,3.0,0.0,https://www.sofascore.com/football/match/horizonte-fc-fortaleza/vPstOi,advanced_stats_confirmed,2026-04-28T19:32:21.743440Z
2026,"Cearense, Serie A, Group A",5,vPstOi,Fortaleza,False,62.0,0.68,16.0,3.0,6.0,18.0,443.0,375.0,13.0,4.0,0.0,https://www.sofascore.com/football/match/horizonte-fc-fortaleza/vPstOi,advanced_stats_confirmed,2026-04-28T19:32:21.743440Z
2026,"Cearense, Serie A, Championship Round",1,vPsLKjc,Fortaleza,True,58.0,1.15,11.0,1.0,3.0,23.0,409.0,327.0,13.0,2.0,0.0,https://www.sofascore.com/football/match/floresta-fortaleza/vPsLKjc,advanced_stats_confirmed,2026-04-28T19:32:21.743452Z
2026,"Cearense, Serie A, Championship Round",1,vPsLKjc,Floresta,False,42.0,0.15,3.0,1.0,3.0,12.0,298.0,217.0,13.0,1.0,0.0,https://www.sofascore.com/football/match/floresta-fortaleza/vPsLKjc,advanced_stats_confirmed,2026-04-28T19:32:21.743452Z
2026,"Cearense, Serie A, Championship Round",2,vPsMKjc,Fortaleza,True,67.0,2.38,31.0,11.0,13.0,19.0,393.0,346.0,10.0,5.0,0.0,https://www.sofascore.com/football/match/ad-iguatu-fortaleza/vPsMKjc,advanced_stats_confirmed,2026-04-28T19:32:21.743469Z
2026,"Cearense, Serie A, Championship Round",2,vPsMKjc,AD Iguatu,False,33.0,0.33,4.0,2.0,3.0,9.0,211.0,151.0,16.0,6.0,0.0,https://www.sofascore.com/football/match/ad-iguatu-fortaleza/vPsMKjc,advanced_stats_confirmed,2026-04-28T19:32:21.743469Z
2026,"Cearense, Serie A, Championship Round",3,bPsvP,Ceará,True,,,,,,,,,,,,https://www.sofascore.com/football/match/fortaleza-ceara/bPsvP,advanced_stats_missing,2026-04-28T19:32:21.743480Z
2026,"Cearense, Serie A, Championship Round",3,bPsvP,Fortaleza,False,,,,,,,,,,,,https://www.sofascore.com/football/match/fortaleza-ceara/bPsvP,advanced_stats_missing,2026-04-28T19:32:21.743480Z
2026,"Cearense, Serie A, Playoffs",28,vPsxdn,Ferroviário,True,54.0,1.27,13.0,5.0,5.0,15.0,399.0,337.0,5.0,1.0,0.0,https://www.sofascore.com/football/match/ferroviario-fortaleza/vPsxdn,advanced_stats_confirmed,2026-04-28T19:32:21.743491Z
