season,competition,round,match_id,team_name,is_home,possession,expected_goals,shots_total,shots_on_target,corners,fouls,passes_total,passes_accurate,tackles_total,yellow_cards,red_cards,source_url,data_status,last_updated_at
2026,Paulista Série A1,1,tOsokeb,Santos,True,33.0,1.53,19.0,6.0,10.0,14.0,228.0,159.0,19.0,1.0,0.0,https://www.sofascore.com/football/match/gremio-novorizontino-santos/tOsokeb,advanced_stats_confirmed,2026-04-24T11:22:52.477767Z
2026,Paulista Série A1,1,tOsokeb,Grêmio Novorizontino,False,67.0,0.7,10.0,4.0,4.0,5.0,510.0,427.0,13.0,1.0,0.0,https://www.sofascore.com/football/match/gremio-novorizontino-santos/tOsokeb,advanced_stats_confirmed,2026-04-24T11:22:52.477767Z
2026,Paulista Série A1,2,xOsokeb,Grêmio Novorizontino,True,62.0,1.98,12.0,3.0,7.0,6.0,535.0,465.0,17.0,0.0,0.0,https://www.sofascore.com/football/match/gremio-novorizontino-guarani/xOsokeb,advanced_stats_confirmed,2026-04-24T11:22:52.477789Z
2026,Paulista Série A1,2,xOsokeb,Guarani,False,38.0,0.3,3.0,2.0,1.0,11.0,333.0,260.0,19.0,3.0,0.0,https://www.sofascore.com/football/match/gremio-novorizontino-guarani/xOsokeb,advanced_stats_confirmed,2026-04-24T11:22:52.477789Z
2026,Paulista Série A1,3,okebsCAAb,EC Primavera,True,46.0,1.44,11.0,4.0,8.0,11.0,305.0,237.0,14.0,1.0,0.0,https://www.sofascore.com/football/match/ec-primavera-gremio-novorizontino/okebsCAAb,advanced_stats_confirmed,2026-04-24T11:22:52.477803Z
2026,Paulista Série A1,3,okebsCAAb,Grêmio Novorizontino,False,54.0,1.93,13.0,5.0,5.0,11.0,353.0,284.0,10.0,2.0,0.0,https://www.sofascore.com/football/match/ec-primavera-gremio-novorizontino/okebsCAAb,advanced_stats_confirmed,2026-04-24T11:22:52.477803Z
2026,Paulista Série A1,4,nOsokeb,Grêmio Novorizontino,True,59.0,1.51,11.0,2.0,4.0,15.0,292.0,165.0,18.0,2.0,0.0,https://www.sofascore.com/football/match/gremio-novorizontino-palmeiras/nOsokeb,advanced_stats_confirmed,2026-04-24T11:22:52.477814Z
2026,Paulista Série A1,4,nOsokeb,Palmeiras,False,41.0,1.47,9.0,4.0,2.0,25.0,209.0,100.0,15.0,2.0,0.0,https://www.sofascore.com/football/match/gremio-novorizontino-palmeiras/nOsokeb,advanced_stats_confirmed,2026-04-24T11:22:52.477814Z
2026,Paulista Série A1,5,EOsokeb,Grêmio Novorizontino,True,,,,,,,,,,,,https://www.sofascore.com/football/match/gremio-novorizontino-botafogo-sp/EOsokeb,advanced_stats_missing,2026-04-24T11:22:52.477825Z
2026,Paulista Série A1,5,EOsokeb,Botafogo-SP,False,,,,,,,,,,,,https://www.sofascore.com/football/match/gremio-novorizontino-botafogo-sp/EOsokeb,advanced_stats_missing,2026-04-24T11:22:52.477825Z
