season,competition_name,competition_round,event_id,match_code,match_date_utc,home_team,away_team,home_score,away_score,venue_name,status,is_completed,source_url,last_updated_at,team_key,is_home_team,team_outcome,transformed_at
2026,"Goiano, 1ª Divisão",1,15158041,wPsPPVd,2026-01-10T19:00:00Z,ABECAT Ouvidorense,Vila Nova FC,1.0,2.0,,completed,True,https://www.sofascore.com/football/match/abecat-ouvidorense-vila-nova-fc/wPsPPVd,2026-04-01T18:11:59.404174Z,vila-nova,False,,2026-04-01T18:25:54.027047Z
2026,"Goiano, 1ª Divisão",2,15158044,iPswP,2026-01-14T23:40:00Z,Vila Nova FC,Anapolina,3.0,2.0,,completed,True,https://www.sofascore.com/football/match/vila-nova-fc-anapolina/iPswP,2026-04-01T18:11:59.404226Z,vila-nova,True,,2026-04-01T18:25:54.027047Z
2026,"Goiano, 1ª Divisão",3,15158051,wPsxMi,2026-01-17T19:00:00Z,Anápolis,Vila Nova FC,1.0,3.0,,completed,True,https://www.sofascore.com/football/match/anapolis-vila-nova-fc/wPsxMi,2026-04-01T18:11:59.404250Z,vila-nova,False,,2026-04-01T18:25:54.027047Z
2026,"Goiano, 1ª Divisão",4,15372337,wPsUfn,2026-01-22T23:40:00Z,Vila Nova FC,AA Aparecidense,3.0,0.0,,completed,True,https://www.sofascore.com/football/match/aa-aparecidense-vila-nova-fc/wPsUfn,2026-04-01T18:11:59.404271Z,vila-nova,True,,2026-04-01T18:25:54.027047Z
2026,"Goiano, 1ª Divisão",5,15158066,wPsoWc,2026-01-25T20:00:00Z,Vila Nova FC,Atlético Goianiense,1.0,2.0,,completed,True,https://www.sofascore.com/football/match/atletico-goianiense-vila-nova-fc/wPsoWc,2026-04-01T18:11:59.404294Z,vila-nova,True,,2026-04-01T18:25:54.027047Z
2026,"Goiano, 1ª Divisão",6,15158069,wPsJyqd,2026-01-29T18:30:00Z,Centro-Oeste,Vila Nova FC,0.0,2.0,,completed,True,https://www.sofascore.com/football/match/centro-oeste-vila-nova-fc/wPsJyqd,2026-04-01T18:11:59.404311Z,vila-nova,False,,2026-04-01T18:25:54.027047Z
2026,"Goiano, 1ª Divisão",7,15158079,kOswP,2026-02-01T21:30:00Z,Goiás,Vila Nova FC,1.0,0.0,,completed,True,https://www.sofascore.com/football/match/vila-nova-fc-goias/kOswP,2026-04-01T18:11:59.404329Z,vila-nova,False,,2026-04-01T18:25:54.027047Z
2026,"Goiano, 1ª Divisão",8,15158080,wPsBOi,2026-02-08T19:00:00Z,Vila Nova FC,Jataiense,4.0,1.0,,completed,True,https://www.sofascore.com/football/match/jataiense-vila-nova-fc/wPsBOi,2026-04-01T18:11:59.404346Z,vila-nova,True,,2026-04-01T18:25:54.027047Z
2026,"Goiano, 1ª Divisão – Mata-mata",27,15512159,wPsxMi,2026-02-13T00:00:00Z,Anápolis,Vila Nova FC,0.0,2.0,,completed,True,https://www.sofascore.com/football/match/anapolis-vila-nova-fc/wPsxMi,2026-04-01T18:11:59.404369Z,vila-nova,False,,2026-04-01T18:25:54.027047Z
2026,"Goiano, 1ª Divisão – Mata-mata",27,15512166,wPsxMi,2026-02-16T22:30:00Z,Vila Nova FC,Anápolis,2.0,2.0,,completed,True,https://www.sofascore.com/football/match/anapolis-vila-nova-fc/wPsxMi,2026-04-01T18:11:59.404383Z,vila-nova,True,,2026-04-01T18:25:54.027047Z
2026,"Goiano, 1ª Divisão – Mata-mata",28,15563475,wPsoWc,2026-02-22T20:00:00Z,Atlético Goianiense,Vila Nova FC,2.0,0.0,,completed,True,https://www.sofascore.com/football/match/atletico-goianiense-vila-nova-fc/wPsoWc,2026-04-01T18:11:59.404397Z,vila-nova,False,,2026-04-01T18:25:54.027047Z
2026,"Goiano, 1ª Divisão – Mata-mata",28,15566220,wPsoWc,2026-03-01T20:00:00Z,Vila Nova FC,Atlético Goianiense,0.0,0.0,,completed,True,https://www.sofascore.com/football/match/atletico-goianiense-vila-nova-fc/wPsoWc,2026-04-01T18:11:59.404414Z,vila-nova,True,,2026-04-01T18:25:54.027047Z
2026,Copa Betano do Brasil,2,15592407,wPsLzK,2026-03-04T22:00:00Z,AE Velo Clube,Vila Nova FC,2.0,3.0,,completed,True,https://www.sofascore.com/football/match/ae-velo-clube-vila-nova-fc/wPsLzK,2026-04-01T18:11:59.404436Z,vila-nova,False,,2026-04-01T18:25:54.027047Z
2026,Copa Betano do Brasil,3,15687216,wPsOQYb,2026-03-12T22:00:00Z,Vila Nova FC,Operário-MS,6.0,5.0,,completed,True,https://www.sofascore.com/football/match/operario-ms-vila-nova-fc/wPsOQYb,2026-04-01T18:11:59.404454Z,vila-nova,True,,2026-04-01T18:25:54.027047Z
2026,Copa Betano do Brasil,4,15730741,rPswP,2026-03-18T22:00:00Z,Vila Nova FC,Confiança,3.0,5.0,,completed,True,https://www.sofascore.com/football/match/vila-nova-fc-confianca/rPswP,2026-04-01T18:11:59.404471Z,vila-nova,True,,2026-04-01T18:25:54.027047Z
2026,Brasileirão Série B,1,15525994,wPsHPi,2026-03-21T20:00:00Z,Vila Nova FC,CRB,2.0,2.0,,completed,True,https://www.sofascore.com/football/match/crb-vila-nova-fc/wPsHPi,2026-04-01T18:11:59.404486Z,vila-nova,True,,2026-04-01T18:25:54.027047Z
2026,"Copa Verde, Centro Oeste A",1,15759536,wPsZIu,2026-03-24T22:00:00Z,Rio Branco-ES,Vila Nova FC,1.0,0.0,,completed,True,https://www.sofascore.com/football/match/rio-branco-es-vila-nova-fc/wPsZIu,2026-04-01T18:11:59.404519Z,vila-nova,False,,2026-04-01T18:25:54.027047Z
2026,"Copa Verde, Centro Oeste A",2,15840668,wPsOQYb,2026-03-28T23:30:00Z,Vila Nova FC,Operário-MS,6.0,0.0,,completed,True,https://www.sofascore.com/football/match/operario-ms-vila-nova-fc/wPsOQYb,2026-04-01T18:11:59.404540Z,vila-nova,True,,2026-04-01T18:25:54.027047Z
2026,Brasileirão Série B,2,15526002,jOswP,2026-04-01T22:00:00Z,Sport Recife,Vila Nova FC,,,,scheduled,False,https://www.sofascore.com/football/match/vila-nova-fc-sport-recife/jOswP,2026-04-01T18:11:59.404562Z,vila-nova,False,,2026-04-01T18:25:54.027047Z
2026,Brasileirão Série B,3,15526014,wPsoWc,2026-04-04T23:00:00Z,Vila Nova FC,Atlético Goianiense,,,,scheduled,False,https://www.sofascore.com/football/match/atletico-goianiense-vila-nova-fc/wPsoWc,2026-04-01T18:11:59.404578Z,vila-nova,True,,2026-04-01T18:25:54.027047Z
2026,"Copa Verde, Centro Oeste A",3,15874301,wPsvaPd,2026-04-08T22:00:00Z,Primavera AC,Vila Nova FC,,,,scheduled,False,https://www.sofascore.com/football/match/primavera-ac-vila-nova-fc/wPsvaPd,2026-04-01T18:11:59.404594Z,vila-nova,False,,2026-04-01T18:25:54.027047Z
2026,Brasileirão Série B,4,15526015,uOswP,2026-04-11T21:00:00Z,Ponte Preta,Vila Nova FC,,,,scheduled,False,https://www.sofascore.com/football/match/vila-nova-fc-ponte-preta/uOswP,2026-04-01T18:11:59.404610Z,vila-nova,False,,2026-04-01T18:25:54.027047Z
2026,"Copa Verde, Centro Oeste A",4,15874320,wPsnoyc,2026-04-16T00:30:00Z,Vila Nova FC,Capital CF,,,,scheduled,False,https://www.sofascore.com/football/match/capital-cf-vila-nova-fc/wPsnoyc,2026-04-01T18:11:59.404630Z,vila-nova,True,,2026-04-01T18:25:54.027047Z
2026,Brasileirão Série B,5,15526034,wPsJRp,2026-04-18T21:30:00Z,Vila Nova FC,Operário-PR,,,,scheduled,False,https://www.sofascore.com/football/match/operario-pr-vila-nova-fc/wPsJRp,2026-04-01T18:11:59.404646Z,vila-nova,True,,2026-04-01T18:25:54.027047Z
2026,Brasileirão Série B,6,15526040,bPswP,2026-04-25T18:00:00Z,Ceará,Vila Nova FC,,,,scheduled,False,https://www.sofascore.com/football/match/vila-nova-fc-ceara/bPswP,2026-04-01T18:11:59.404655Z,vila-nova,False,,2026-04-01T18:25:54.027047Z
2026,"Copa Verde, Centro Oeste A",5,15874332,wPsIfo,2026-04-29T18:00:00Z,Araguaína,Vila Nova FC,,,,scheduled,False,https://www.sofascore.com/football/match/araguaina-vila-nova-fc/wPsIfo,2026-04-01T18:11:59.404671Z,vila-nova,False,,2026-04-01T18:25:54.027047Z
2026,Brasileirão Série B,7,15526074,wPsAfMc,2026-05-02T18:00:00Z,Vila Nova FC,Athletic Club,,,,scheduled,False,https://www.sofascore.com/football/match/athletic-club-vila-nova-fc/wPsAfMc,2026-04-01T18:11:59.404689Z,vila-nova,True,,2026-04-01T18:25:54.027047Z
2026,Brasileirão Série B,8,15526081,kOswP,2026-05-09T18:00:00Z,Goiás,Vila Nova FC,,,,scheduled,False,https://www.sofascore.com/football/match/vila-nova-fc-goias/kOswP,2026-04-01T18:11:59.404706Z,vila-nova,False,,2026-04-01T18:25:54.027047Z
2026,Brasileirão Série B,9,15526095,wPspWc,2026-05-16T18:00:00Z,Vila Nova FC,Avaí,,,,scheduled,False,https://www.sofascore.com/football/match/avai-vila-nova-fc/wPspWc,2026-04-01T18:11:59.404722Z,vila-nova,True,,2026-04-01T18:25:54.027047Z
2026,Brasileirão Série B,10,15526099,yOswP,2026-05-23T18:00:00Z,América Mineiro,Vila Nova FC,,,,scheduled,False,https://www.sofascore.com/football/match/vila-nova-fc-america-mineiro/yOswP,2026-04-01T18:11:59.404735Z,vila-nova,False,,2026-04-01T18:25:54.027047Z
2026,Brasileirão Série B,11,15526110,wPsxP,2026-05-30T18:00:00Z,Londrina,Vila Nova FC,,,,scheduled,False,https://www.sofascore.com/football/match/londrina-vila-nova-fc/wPsxP,2026-04-01T18:11:59.404752Z,vila-nova,False,,2026-04-01T18:25:54.027047Z
2026,Brasileirão Série B,12,15526126,EOswP,2026-06-09T18:00:00Z,Vila Nova FC,Botafogo-SP,,,,scheduled,False,https://www.sofascore.com/football/match/vila-nova-fc-botafogo-sp/EOswP,2026-04-01T18:11:59.404764Z,vila-nova,True,,2026-04-01T18:25:54.027047Z
