season,competition,round,event_id,match_code,home_team,away_team,team_id,team_name,is_home,player_id,player_name,player_slug,position,jersey_number,is_substitute,last_updated_at,minutes_played,rating,total_pass,accurate_pass,total_long_balls,accurate_long_balls,total_shots,goal_assist,saves,touches,possession_lost_ctrl,ball_recovery,expected_assists,pass_value_normalized,dribble_value_normalized,defensive_value_normalized,goalkeeper_value_normalized
2026,"Goiano, 1ª Divisão",1,15158041,wPsPPVd,ABECAT Ouvidorense,Vila Nova FC,,ABECAT Ouvidorense,True,870770,Bruno Pianissolla,bruno,G,1,False,2026-04-01T18:19:48.376961Z,90.0,7.1,25.0,23.0,15.0,13.0,0.0,0.0,3.0,32.0,5.0,5.0,0.0,,,,
2026,"Goiano, 1ª Divisão",1,15158041,wPsPPVd,ABECAT Ouvidorense,Vila Nova FC,,ABECAT Ouvidorense,True,978983,Cleiton Camargos,cleiton-camargos,D,2,False,2026-04-01T18:19:48.376961Z,90.0,6.8,38.0,29.0,4.0,1.0,0.0,0.0,,56.0,15.0,8.0,0.05,,,,
2026,"Goiano, 1ª Divisão",1,15158041,wPsPPVd,ABECAT Ouvidorense,Vila Nova FC,,ABECAT Ouvidorense,True,1545691,Leonardo Alves Franzin,leonardo-alves-franzin,D,3,False,2026-04-01T18:19:48.376961Z,62.0,6.8,12.0,12.0,0.0,0.0,0.0,0.0,,20.0,1.0,7.0,0.0,,,,
2026,"Goiano, 1ª Divisão",1,15158041,wPsPPVd,ABECAT Ouvidorense,Vila Nova FC,,ABECAT Ouvidorense,True,813832,Rafael Dumas,rafael-dumas,D,4,False,2026-04-01T18:19:48.376961Z,90.0,7.1,29.0,24.0,5.0,4.0,1.0,0.0,,39.0,8.0,10.0,0.0,,,,
2026,"Goiano, 1ª Divisão",1,15158041,wPsPPVd,ABECAT Ouvidorense,Vila Nova FC,,ABECAT Ouvidorense,True,874355,Alan Bald,alan-bald,D,6,False,2026-04-01T18:19:48.376961Z,90.0,7.5,22.0,17.0,3.0,2.0,2.0,0.0,,39.0,15.0,8.0,0.15,,,,
2026,"Goiano, 1ª Divisão",1,15158041,wPsPPVd,ABECAT Ouvidorense,Vila Nova FC,,ABECAT Ouvidorense,True,817549,Matheuzinho,matheuzinho,M,10,False,2026-04-01T18:19:48.376961Z,78.0,7.1,29.0,22.0,1.0,1.0,1.0,0.0,,38.0,11.0,5.0,0.31,,,,
2026,"Goiano, 1ª Divisão",1,15158041,wPsPPVd,ABECAT Ouvidorense,Vila Nova FC,,ABECAT Ouvidorense,True,1107354,Rafinha Silva,rafinha-silva,M,15,False,2026-04-01T18:19:48.376961Z,82.0,6.7,22.0,19.0,1.0,1.0,1.0,0.0,,35.0,8.0,5.0,0.28,,,,
2026,"Goiano, 1ª Divisão",1,15158041,wPsPPVd,ABECAT Ouvidorense,Vila Nova FC,,ABECAT Ouvidorense,True,1016891,Lucas Silva,lucas-silva,M,5,False,2026-04-01T18:19:48.376961Z,90.0,7.4,33.0,27.0,9.0,6.0,1.0,0.0,,41.0,10.0,12.0,0.0,,,,
2026,"Goiano, 1ª Divisão",1,15158041,wPsPPVd,ABECAT Ouvidorense,Vila Nova FC,,ABECAT Ouvidorense,True,1019671,Ariel da Silva Pingo,pingo,M,8,False,2026-04-01T18:19:48.376961Z,62.0,6.7,13.0,11.0,1.0,0.0,1.0,0.0,,18.0,3.0,3.0,0.0,,,,
2026,"Goiano, 1ª Divisão",1,15158041,wPsPPVd,ABECAT Ouvidorense,Vila Nova FC,,ABECAT Ouvidorense,True,842279,Marcílio,marcilio,M,11,False,2026-04-01T18:19:48.376961Z,32.0,6.8,10.0,9.0,2.0,1.0,2.0,0.0,,17.0,2.0,2.0,0.0,,,,
