season,competition,round,match_id,team_name,is_home,possession,expected_goals,shots_total,shots_on_target,corners,fouls,passes_total,passes_accurate,tackles_total,yellow_cards,red_cards,source_url,data_status,last_updated_at
2026,"Goiano, 1ª Divisão",1,wPsPPVd,ABECAT Ouvidorense,True,40.0,2.19,15.0,5.0,5.0,10.0,288.0,239.0,5.0,2.0,0.0,https://www.sofascore.com/football/match/abecat-ouvidorense-vila-nova-fc/wPsPPVd,advanced_stats_confirmed,2026-04-01T18:11:59.404174Z
2026,"Goiano, 1ª Divisão",1,wPsPPVd,Vila Nova FC,False,60.0,1.45,15.0,5.0,4.0,18.0,479.0,419.0,2.0,4.0,0.0,https://www.sofascore.com/football/match/abecat-ouvidorense-vila-nova-fc/wPsPPVd,advanced_stats_confirmed,2026-04-01T18:11:59.404174Z
2026,"Goiano, 1ª Divisão",2,iPswP,Vila Nova FC,True,46.0,1.41,14.0,5.0,5.0,20.0,401.0,327.0,0.0,1.0,0.0,https://www.sofascore.com/football/match/vila-nova-fc-anapolina/iPswP,advanced_stats_confirmed,2026-04-01T18:11:59.404226Z
2026,"Goiano, 1ª Divisão",2,iPswP,Anapolina,False,54.0,0.97,14.0,5.0,5.0,14.0,396.0,336.0,2.0,2.0,0.0,https://www.sofascore.com/football/match/vila-nova-fc-anapolina/iPswP,advanced_stats_confirmed,2026-04-01T18:11:59.404226Z
2026,"Goiano, 1ª Divisão",3,wPsxMi,Anápolis,True,45.0,2.24,7.0,4.0,6.0,18.0,314.0,243.0,4.0,1.0,0.0,https://www.sofascore.com/football/match/anapolis-vila-nova-fc/wPsxMi,advanced_stats_confirmed,2026-04-01T18:11:59.404250Z
2026,"Goiano, 1ª Divisão",3,wPsxMi,Vila Nova FC,False,55.0,1.57,11.0,3.0,6.0,16.0,390.0,323.0,3.0,2.0,0.0,https://www.sofascore.com/football/match/anapolis-vila-nova-fc/wPsxMi,advanced_stats_confirmed,2026-04-01T18:11:59.404250Z
2026,"Goiano, 1ª Divisão",4,wPsUfn,Vila Nova FC,True,48.0,3.08,14.0,5.0,7.0,21.0,343.0,288.0,5.0,2.0,0.0,https://www.sofascore.com/football/match/aa-aparecidense-vila-nova-fc/wPsUfn,advanced_stats_confirmed,2026-04-01T18:11:59.404271Z
2026,"Goiano, 1ª Divisão",4,wPsUfn,AA Aparecidense,False,52.0,0.4,6.0,1.0,7.0,13.0,331.0,271.0,4.0,1.0,0.0,https://www.sofascore.com/football/match/aa-aparecidense-vila-nova-fc/wPsUfn,advanced_stats_confirmed,2026-04-01T18:11:59.404271Z
2026,"Goiano, 1ª Divisão",5,wPsoWc,Vila Nova FC,True,,,,,,,,,,,,https://www.sofascore.com/football/match/atletico-goianiense-vila-nova-fc/wPsoWc,advanced_stats_missing,2026-04-01T18:11:59.404294Z
2026,"Goiano, 1ª Divisão",5,wPsoWc,Atlético Goianiense,False,,,,,,,,,,,,https://www.sofascore.com/football/match/atletico-goianiense-vila-nova-fc/wPsoWc,advanced_stats_missing,2026-04-01T18:11:59.404294Z
2026,"Goiano, 1ª Divisão",6,wPsJyqd,Centro-Oeste,True,34.0,0.62,10.0,5.0,1.0,13.0,276.0,228.0,5.0,1.0,0.0,https://www.sofascore.com/football/match/centro-oeste-vila-nova-fc/wPsJyqd,advanced_stats_confirmed,2026-04-01T18:11:59.404311Z
2026,"Goiano, 1ª Divisão",6,wPsJyqd,Vila Nova FC,False,66.0,1.35,12.0,4.0,7.0,12.0,520.0,455.0,0.0,2.0,0.0,https://www.sofascore.com/football/match/centro-oeste-vila-nova-fc/wPsJyqd,advanced_stats_confirmed,2026-04-01T18:11:59.404311Z
2026,"Goiano, 1ª Divisão",7,kOswP,Goiás,True,,,,,,,,,,,,https://www.sofascore.com/football/match/vila-nova-fc-goias/kOswP,advanced_stats_missing,2026-04-01T18:11:59.404329Z
2026,"Goiano, 1ª Divisão",7,kOswP,Vila Nova FC,False,,,,,,,,,,,,https://www.sofascore.com/football/match/vila-nova-fc-goias/kOswP,advanced_stats_missing,2026-04-01T18:11:59.404329Z
2026,"Goiano, 1ª Divisão",8,wPsBOi,Vila Nova FC,True,67.0,2.36,20.0,8.0,12.0,12.0,508.0,442.0,4.0,2.0,0.0,https://www.sofascore.com/football/match/jataiense-vila-nova-fc/wPsBOi,advanced_stats_confirmed,2026-04-01T18:11:59.404346Z
2026,"Goiano, 1ª Divisão",8,wPsBOi,Jataiense,False,33.0,1.38,11.0,2.0,3.0,11.0,248.0,194.0,2.0,1.0,0.0,https://www.sofascore.com/football/match/jataiense-vila-nova-fc/wPsBOi,advanced_stats_confirmed,2026-04-01T18:11:59.404346Z
2026,"Goiano, 1ª Divisão – Mata-mata",27,wPsxMi,Anápolis,True,45.0,2.24,7.0,4.0,6.0,18.0,314.0,243.0,4.0,1.0,0.0,https://www.sofascore.com/football/match/anapolis-vila-nova-fc/wPsxMi,advanced_stats_confirmed,2026-04-01T18:11:59.404369Z
2026,"Goiano, 1ª Divisão – Mata-mata",27,wPsxMi,Vila Nova FC,False,55.0,1.57,11.0,3.0,6.0,16.0,390.0,323.0,3.0,2.0,0.0,https://www.sofascore.com/football/match/anapolis-vila-nova-fc/wPsxMi,advanced_stats_confirmed,2026-04-01T18:11:59.404369Z
2026,"Goiano, 1ª Divisão – Mata-mata",27,wPsxMi,Vila Nova FC,True,45.0,2.24,7.0,4.0,6.0,18.0,314.0,243.0,4.0,1.0,0.0,https://www.sofascore.com/football/match/anapolis-vila-nova-fc/wPsxMi,advanced_stats_confirmed,2026-04-01T18:11:59.404383Z
2026,"Goiano, 1ª Divisão – Mata-mata",27,wPsxMi,Anápolis,False,55.0,1.57,11.0,3.0,6.0,16.0,390.0,323.0,3.0,2.0,0.0,https://www.sofascore.com/football/match/anapolis-vila-nova-fc/wPsxMi,advanced_stats_confirmed,2026-04-01T18:11:59.404383Z
2026,"Goiano, 1ª Divisão – Mata-mata",28,wPsoWc,Atlético Goianiense,True,,,,,,,,,,,,https://www.sofascore.com/football/match/atletico-goianiense-vila-nova-fc/wPsoWc,advanced_stats_missing,2026-04-01T18:11:59.404397Z
2026,"Goiano, 1ª Divisão – Mata-mata",28,wPsoWc,Vila Nova FC,False,,,,,,,,,,,,https://www.sofascore.com/football/match/atletico-goianiense-vila-nova-fc/wPsoWc,advanced_stats_missing,2026-04-01T18:11:59.404397Z
2026,"Goiano, 1ª Divisão – Mata-mata",28,wPsoWc,Vila Nova FC,True,,,,,,,,,,,,https://www.sofascore.com/football/match/atletico-goianiense-vila-nova-fc/wPsoWc,advanced_stats_missing,2026-04-01T18:11:59.404414Z
2026,"Goiano, 1ª Divisão – Mata-mata",28,wPsoWc,Atlético Goianiense,False,,,,,,,,,,,,https://www.sofascore.com/football/match/atletico-goianiense-vila-nova-fc/wPsoWc,advanced_stats_missing,2026-04-01T18:11:59.404414Z
2026,Copa Betano do Brasil,2,wPsLzK,AE Velo Clube,True,,0.74,,,,,,,,3.0,0.0,https://www.sofascore.com/football/match/ae-velo-clube-vila-nova-fc/wPsLzK,advanced_stats_partial,2026-04-01T18:11:59.404436Z
2026,Copa Betano do Brasil,2,wPsLzK,Vila Nova FC,False,,2.06,,,,,,,,4.0,0.0,https://www.sofascore.com/football/match/ae-velo-clube-vila-nova-fc/wPsLzK,advanced_stats_partial,2026-04-01T18:11:59.404436Z
2026,Copa Betano do Brasil,3,wPsOQYb,Vila Nova FC,True,56.0,,,12.0,2.0,,,,,4.0,0.0,https://www.sofascore.com/football/match/operario-ms-vila-nova-fc/wPsOQYb,advanced_stats_partial,2026-04-01T18:11:59.404454Z
2026,Copa Betano do Brasil,3,wPsOQYb,Operário-MS,False,44.0,,,1.0,0.0,,,,,3.0,0.0,https://www.sofascore.com/football/match/operario-ms-vila-nova-fc/wPsOQYb,advanced_stats_partial,2026-04-01T18:11:59.404454Z
2026,Copa Betano do Brasil,4,rPswP,Vila Nova FC,True,52.0,0.34,10.0,1.0,4.0,23.0,387.0,329.0,13.0,2.0,0.0,https://www.sofascore.com/football/match/vila-nova-fc-confianca/rPswP,advanced_stats_confirmed,2026-04-01T18:11:59.404471Z
2026,Copa Betano do Brasil,4,rPswP,Confiança,False,48.0,0.35,9.0,1.0,6.0,14.0,375.0,301.0,18.0,4.0,0.0,https://www.sofascore.com/football/match/vila-nova-fc-confianca/rPswP,advanced_stats_confirmed,2026-04-01T18:11:59.404471Z
2026,Brasileirão Série B,1,wPsHPi,Vila Nova FC,True,35.0,0.47,8.0,4.0,3.0,22.0,240.0,173.0,15.0,4.0,0.0,https://www.sofascore.com/football/match/crb-vila-nova-fc/wPsHPi,advanced_stats_confirmed,2026-04-01T18:11:59.404486Z
2026,Brasileirão Série B,1,wPsHPi,CRB,False,65.0,1.13,12.0,9.0,5.0,16.0,433.0,361.0,11.0,4.0,0.0,https://www.sofascore.com/football/match/crb-vila-nova-fc/wPsHPi,advanced_stats_confirmed,2026-04-01T18:11:59.404486Z
2026,"Copa Verde, Centro Oeste A",1,wPsZIu,Rio Branco-ES,True,,,,,,,,,,,,https://www.sofascore.com/football/match/rio-branco-es-vila-nova-fc/wPsZIu,advanced_stats_missing,2026-04-01T18:11:59.404519Z
2026,"Copa Verde, Centro Oeste A",1,wPsZIu,Vila Nova FC,False,,,,,,,,,,,,https://www.sofascore.com/football/match/rio-branco-es-vila-nova-fc/wPsZIu,advanced_stats_missing,2026-04-01T18:11:59.404519Z
2026,"Copa Verde, Centro Oeste A",2,wPsOQYb,Vila Nova FC,True,56.0,,,12.0,2.0,,,,,4.0,0.0,https://www.sofascore.com/football/match/operario-ms-vila-nova-fc/wPsOQYb,advanced_stats_partial,2026-04-01T18:11:59.404540Z
2026,"Copa Verde, Centro Oeste A",2,wPsOQYb,Operário-MS,False,44.0,,,1.0,0.0,,,,,3.0,0.0,https://www.sofascore.com/football/match/operario-ms-vila-nova-fc/wPsOQYb,advanced_stats_partial,2026-04-01T18:11:59.404540Z
