season,competition,round,match_id,match_date_utc,home_team_name,away_team_name,home_score,away_score,status,venue_name,source,source_detail,source_url,data_status,last_updated_at,match_code,match_label,home_team,home_team_key,away_team,away_team_key,transformed_at
2025,serie_b,1,kOsoIJc,2025-04-04T22:00:00Z,Goiás,Amazonas FC,1,0,completed,,sofascore_api,api/v1/unique-tournament/390/season/{}/events/round/{},https://www.sofascore.com/football/match/amazonas-fc-goias/kOsoIJc,score_confirmed,2026-05-07T16:36:59.789278Z,,,,,,,
2025,serie_b,1,JOsJRp,2025-04-05T00:00:00Z,Criciúma,Operário-PR,1,2,completed,,sofascore_api,api/v1/unique-tournament/390/season/{}/events/round/{},https://www.sofascore.com/football/match/operario-pr-criciuma/JOsJRp,score_confirmed,2026-05-07T16:36:59.789312Z,,,,,,,
2025,serie_b,1,rOsXO,2025-04-05T00:00:00Z,Paysandu SC,Athletico,1,2,completed,,sofascore_api,api/v1/unique-tournament/390/season/{}/events/round/{},https://www.sofascore.com/football/match/paysandu-sc-athletico/rOsXO,score_confirmed,2026-05-07T16:36:59.789331Z,,,,,,,
2025,serie_b,1,VLisHPi,2025-04-05T19:00:00Z,CRB,Chapecoense,1,0,completed,,sofascore_api,api/v1/unique-tournament/390/season/{}/events/round/{},https://www.sofascore.com/football/match/crb-chapecoense/VLisHPi,score_confirmed,2026-05-07T16:36:59.789346Z,,,,,,,
2025,serie_b,1,HOswP,2025-04-05T19:00:00Z,Coritiba,Vila Nova FC,1,0,completed,,sofascore_api,api/v1/unique-tournament/390/season/{}/events/round/{},https://www.sofascore.com/football/match/vila-nova-fc-coritiba/HOswP,score_confirmed,2026-05-07T16:36:59.789362Z,,,,,,,
2025,serie_b,1,yOsEO,2025-04-05T21:30:00Z,América Mineiro,Botafogo-SP,1,0,completed,,sofascore_api,api/v1/unique-tournament/390/season/{}/events/round/{},https://www.sofascore.com/football/match/botafogo-sp-america-mineiro/yOsEO,score_confirmed,2026-05-07T16:36:59.789376Z,,,,,,,
2025,serie_b,1,mPsKfo,2025-04-06T22:00:00Z,Ferroviária,Remo,1,1,completed,,sofascore_api,api/v1/unique-tournament/390/season/{}/events/round/{},https://www.sofascore.com/football/match/ferroviaria-remo/mPsKfo,score_confirmed,2026-05-07T16:36:59.789389Z,,,,,,,
2025,serie_b,1,HOcscJu,2025-04-06T22:00:00Z,Volta Redonda,Cuiabá,0,1,completed,,sofascore_api,api/v1/unique-tournament/390/season/{}/events/round/{},https://www.sofascore.com/football/match/cuiaba-volta-redonda/HOcscJu,score_confirmed,2026-05-07T16:36:59.789403Z,,,,,,,
2025,serie_b,1,pWcsokeb,2025-04-06T23:00:00Z,Avaí,Grêmio Novorizontino,1,1,completed,,sofascore_api,api/v1/unique-tournament/390/season/{}/events/round/{},https://www.sofascore.com/football/match/novorizontino-avai/pWcsokeb,score_confirmed,2026-05-07T16:36:59.789415Z,,,,,,,
2025,serie_b,1,oWcsAfMc,2025-04-07T22:00:00Z,Atlético Goianiense,Athletic Club,4,2,completed,,sofascore_api,api/v1/unique-tournament/390/season/{}/events/round/{},https://www.sofascore.com/football/match/athletic-club-atletico-goianiense/oWcsAfMc,score_confirmed,2026-05-07T16:36:59.789428Z,,,,,,,
