season,competition,round,match_code,team_name,team_key,is_home,possession,expected_goals,shots_total,shots_on_target,shots_on_target_pct,corners,fouls,passes_total,passes_accurate,passes_accuracy_pct,tackles_total,yellow_cards,red_cards,data_status,last_updated_at,transformed_at
2025,serie_b,21,KfosoIJc,Ferroviária,ferroviaria,True,60,1.41,12,4,33.3,9,10.0,459,394,85.8,10,2.0,0,advanced_stats_confirmed,2026-05-07T16:20:44.900544Z,2026-05-07T17:00:43.505786Z
2025,serie_b,21,KfosoIJc,Amazonas FC,amazonas-fc,False,40,0.74,9,3,33.3,1,14.0,310,233,75.2,20,3.0,0,advanced_stats_confirmed,2026-05-07T16:20:44.900544Z,2026-05-07T17:00:43.505786Z
2025,serie_b,21,HOsVLi,Coritiba,coritiba,True,54,0.61,16,5,31.2,4,9.0,440,379,86.1,11,3.0,0,advanced_stats_confirmed,2026-05-07T16:20:44.900575Z,2026-05-07T17:00:43.505786Z
2025,serie_b,21,HOsVLi,Chapecoense,chapecoense,False,46,0.36,8,0,0.0,3,22.0,383,323,84.3,10,3.0,0,advanced_stats_confirmed,2026-05-07T16:20:44.900575Z,2026-05-07T17:00:43.505786Z
2025,serie_b,21,yOsmP,América Mineiro,america-mg,True,63,1.24,17,7,41.2,9,10.0,516,434,84.1,14,1.0,0,advanced_stats_confirmed,2026-05-07T16:20:44.900609Z,2026-05-07T17:00:43.505786Z
2025,serie_b,21,yOsmP,Remo,remo,False,37,1.13,7,2,28.6,3,13.0,315,230,73.0,19,2.0,0,advanced_stats_confirmed,2026-05-07T16:20:44.900609Z,2026-05-07T17:00:43.505786Z
2025,serie_b,21,kOsJRp,Goiás,goias,True,44,1.12,12,3,25.0,4,17.0,347,270,77.8,20,1.0,0,advanced_stats_confirmed,2026-05-07T16:20:44.900623Z,2026-05-07T17:00:43.505786Z
2025,serie_b,21,kOsJRp,Operário-PR,operario-pr,False,56,1.13,15,1,6.7,3,15.0,446,381,85.4,11,4.0,0,advanced_stats_confirmed,2026-05-07T16:20:44.900623Z,2026-05-07T17:00:43.505786Z
2025,serie_b,21,HOcsokeb,Volta Redonda,volta-redonda,True,53,0.92,15,6,40.0,11,15.0,447,366,81.9,10,3.0,0,advanced_stats_confirmed,2026-05-07T16:20:44.900638Z,2026-05-07T17:00:43.505786Z
2025,serie_b,21,HOcsokeb,Grêmio Novorizontino,novorizontino,False,47,0.3,5,3,60.0,4,11.0,390,300,76.9,20,0.0,0,advanced_stats_confirmed,2026-05-07T16:20:44.900638Z,2026-05-07T17:00:43.505786Z
2025,serie_b,21,pWcscJu,Avaí,avai,True,35,0.83,9,5,55.6,1,17.0,257,175,68.1,20,1.0,0,advanced_stats_confirmed,2026-05-07T16:20:44.900662Z,2026-05-07T17:00:43.505786Z
2025,serie_b,21,pWcscJu,Cuiabá,cuiaba,False,65,2.18,21,5,23.8,10,14.0,465,376,80.9,20,2.0,0,advanced_stats_confirmed,2026-05-07T16:20:44.900662Z,2026-05-07T17:00:43.505786Z
2025,serie_b,21,EOsoWc,Atlético Goianiense,atletico-go,True,61,2.56,25,7,28.0,5,15.0,497,435,87.5,7,1.0,0,advanced_stats_confirmed,2026-05-07T16:20:44.900677Z,2026-05-07T17:00:43.505786Z
2025,serie_b,21,EOsoWc,Botafogo-SP,botafogo-sp,False,39,0.3,6,2,33.3,5,10.0,310,240,77.4,10,2.0,0,advanced_stats_confirmed,2026-05-07T16:20:44.900677Z,2026-05-07T17:00:43.505786Z
2025,serie_b,21,rOsJO,Criciúma,criciuma,True,50,2.2,19,9,47.4,4,18.0,340,252,74.1,16,3.0,0,advanced_stats_confirmed,2026-05-07T16:20:44.900693Z,2026-05-07T17:00:43.505786Z
2025,serie_b,21,rOsJO,Athletico,athletico,False,50,1.61,7,3,42.9,5,15.0,342,250,73.1,21,3.0,0,advanced_stats_confirmed,2026-05-07T16:20:44.900693Z,2026-05-07T17:00:43.505786Z
2025,serie_b,21,XOswP,Paysandu SC,paysandu-sc,True,59,0.28,10,1,10.0,9,10.0,304,210,69.1,11,1.0,0,advanced_stats_confirmed,2026-05-07T16:20:44.900709Z,2026-05-07T17:00:43.505786Z
2025,serie_b,21,XOswP,Vila Nova FC,vila-nova,False,41,0.7,6,2,33.3,5,20.0,212,141,66.5,17,2.0,0,advanced_stats_confirmed,2026-05-07T16:20:44.900709Z,2026-05-07T17:00:43.505786Z
2025,serie_b,21,HPisAfMc,CRB,crb,True,48,1.8,20,6,30.0,8,13.0,415,357,86.0,11,1.0,0,advanced_stats_confirmed,2026-05-07T16:20:44.900721Z,2026-05-07T17:00:43.505786Z
2025,serie_b,21,HPisAfMc,Athletic Club,athletic-club,False,52,0.4,6,3,50.0,4,13.0,460,394,85.7,7,2.0,1,advanced_stats_confirmed,2026-05-07T16:20:44.900721Z,2026-05-07T17:00:43.505786Z
2025,serie_b,22,HOsokeb,Grêmio Novorizontino,novorizontino,True,59,0.67,18,3,16.7,4,14.0,445,379,85.2,15,5.0,0,advanced_stats_confirmed,2026-05-07T16:20:45.212464Z,2026-05-07T17:00:43.505786Z
2025,serie_b,22,HOsokeb,Coritiba,coritiba,False,41,0.82,9,4,44.4,6,17.0,332,271,81.6,18,4.0,0,advanced_stats_confirmed,2026-05-07T16:20:45.212464Z,2026-05-07T17:00:43.505786Z
2025,serie_b,22,yOsoIJc,Amazonas FC,amazonas-fc,True,41,1.84,12,5,41.7,5,14.0,277,209,75.5,19,6.0,0,advanced_stats_confirmed,2026-05-07T16:20:45.212505Z,2026-05-07T17:00:43.505786Z
2025,serie_b,22,yOsoIJc,América Mineiro,america-mg,False,59,2.5,16,5,31.2,4,13.0,409,347,84.8,12,5.0,0,advanced_stats_confirmed,2026-05-07T16:20:45.212505Z,2026-05-07T17:00:43.505786Z
2025,serie_b,22,EOsmP,Remo,remo,True,57,1.98,17,5,29.4,3,9.0,532,455,85.5,13,2.0,0,advanced_stats_confirmed,2026-05-07T16:20:45.212519Z,2026-05-07T17:00:43.505786Z
2025,serie_b,22,EOsmP,Botafogo-SP,botafogo-sp,False,43,0.65,9,2,22.2,6,10.0,396,324,81.8,11,2.0,0,advanced_stats_confirmed,2026-05-07T16:20:45.212519Z,2026-05-07T17:00:43.505786Z
2025,serie_b,22,kOswP,Vila Nova FC,vila-nova,True,27,1.91,9,3,33.3,1,28.0,155,85,54.8,18,6.0,0,advanced_stats_confirmed,2026-05-07T16:20:45.212533Z,2026-05-07T17:00:43.505786Z
2025,serie_b,22,kOswP,Goiás,goias,False,73,1.0,10,3,30.0,2,11.0,427,353,82.7,11,3.0,0,advanced_stats_confirmed,2026-05-07T16:20:45.212533Z,2026-05-07T17:00:43.505786Z
2025,serie_b,22,rOscJu,Athletico,athletico,True,74,2.1,17,4,23.5,8,9.0,565,487,86.2,15,1.0,0,advanced_stats_confirmed,2026-05-07T16:20:45.212552Z,2026-05-07T17:00:43.505786Z
2025,serie_b,22,rOscJu,Cuiabá,cuiaba,False,26,0.59,9,2,22.2,3,17.0,207,146,70.5,12,2.0,0,advanced_stats_confirmed,2026-05-07T16:20:45.212552Z,2026-05-07T17:00:43.505786Z
