season,round,id_jogo,num_jogo,data,hora,estadio,cidade,uf,mandante_id,mandante_nome,visitante_id,visitante_nome,gols_mandante,gols_visitante,publico_pagante,renda_bruta,boletim_status,transformed_at
2026,1,832847,10,21/03/2026,17:00,Onésio Brasileiro Alvarenga,Goiania,GO,20079,Vila Nova,20032,Crb,2.0,2.0,2485.0,36140.0,ok,2026-06-02T14:46:54.196783Z
2026,1,832842,5,21/03/2026,18:00,Arena Castelão,Fortaleza,CE,20031,Ceará,31790,Sao Bernardo,1.0,1.0,8680.0,87486.0,ok,2026-06-02T14:46:54.196783Z
2026,1,832841,4,21/03/2026,18:15,Germano Kruger,Ponta Grossa,PR,20106,Operário,62261,Atlético Goianiense Saf,1.0,0.0,3535.0,100390.0,ok,2026-06-02T14:46:54.196783Z
2026,1,832838,1,21/03/2026,19:15,Santa Cruz,Ribeirao Preto,SP,56654,Botafogo,63238,Fortaleza SAF,4.0,0.0,2754.0,73615.0,ok,2026-06-02T14:46:54.196783Z
2026,1,832846,9,21/03/2026,20:30,Arena Pantanal,Cuiaba,MT,20800,Cuiabá,20010,Sport Recife,0.0,0.0,3211.0,45738.0,ok,2026-06-02T14:46:54.196783Z
2026,1,832844,7,22/03/2026,16:00,Ressacada,Florianopolis,SC,20058,Avaí,20027,Juventude,2.0,0.0,5099.0,135135.0,ok,2026-06-02T14:46:54.196783Z
2026,1,832845,8,22/03/2026,16:00,Aflitos,Recife,PE,20023,Náutico,20019,Criciúma,0.0,1.0,7442.0,237933.0,ok,2026-06-02T14:46:54.196783Z
2026,1,832843,6,22/03/2026,18:00,Hailé Pinheiro,Goiania,GO,20028,Goiás,59897,América,3.0,1.0,6377.0,96855.0,ok,2026-06-02T14:46:54.196783Z
2026,1,832840,3,22/03/2026,18:00,Arena Sicredi,Sao Joao del Rei,MG,59896,Athletic SAF,20037,Ponte Preta,2.0,1.0,3217.0,38110.0,ok,2026-06-02T14:46:54.196783Z
2026,1,832839,2,22/03/2026,20:00,Dr. Jorge Ismael de Biasi,Novo Horizonte,SP,31514,Gremio Novorizontino - Saf,62726,Londrina SAF,1.0,3.0,1282.0,17290.0,ok,2026-06-02T14:46:54.196783Z
2026,2,832857,20,31/03/2026,18:30,Alfredo Jaconi,Caxias do Sul,RS,20027,Juventude,31514,Gremio Novorizontino - Saf,0.0,0.0,3542.0,56970.0,ok,2026-06-02T14:46:54.196783Z
2026,2,832852,15,31/03/2026,19:00,Arena Castelão,Fortaleza,CE,63238,Fortaleza SAF,20800,Cuiabá,0.0,0.0,7679.0,85480.0,ok,2026-06-02T14:46:54.196783Z
2026,2,832850,13,01/04/2026,18:00,ARENA MRV,Belo Horizonte,MG,59897,América,56654,Botafogo,1.0,2.0,1148.0,12340.0,ok,2026-06-02T14:46:54.196783Z
2026,2,832851,14,01/04/2026,19:00,VGD,Londrina,PR,62726,Londrina SAF,20028,Goiás,2.0,2.0,4421.0,125590.0,ok,2026-06-02T14:46:54.196783Z
2026,2,832853,16,01/04/2026,19:00,Antônio Accioly,Goiania,GO,62261,Atlético Goianiense Saf,20023,Náutico,1.0,2.0,1762.0,22435.0,ok,2026-06-02T14:46:54.196783Z
2026,2,832855,18,01/04/2026,19:00,Ilha do Retiro,Recife,PE,20010,Sport Recife,20079,Vila Nova,1.0,1.0,4576.0,131884.0,ok,2026-06-02T14:46:54.196783Z
2026,2,832848,11,01/04/2026,21:00,Moisés Lucarelli,Campinas,SP,20037,Ponte Preta,20031,Ceará,1.0,1.0,4057.0,100210.0,ok,2026-06-02T14:46:54.196783Z
2026,2,832856,19,01/04/2026,21:30,Rei Pelé,Maceio,AL,20032,Crb,20058,Avaí,0.0,1.0,3268.0,33087.3,ok,2026-06-02T14:46:54.196783Z
2026,2,832854,17,01/04/2026,21:30,Heriberto Hulse,Criciuma,SC,20019,Criciúma,59896,Athletic SAF,1.0,1.0,,,download_failed,2026-06-02T14:46:54.196783Z
2026,2,832849,12,02/04/2026,19:00,1º de Maio,Sao Bernardo do Campo,SP,31790,Sao Bernardo,20106,Operário,1.0,2.0,495.0,7150.0,ok,2026-06-02T14:46:54.196783Z
2026,3,832862,25,04/04/2026,16:00,Arena Castelão,Fortaleza,CE,63238,Fortaleza SAF,20027,Juventude,2.0,1.0,7437.0,103136.0,ok,2026-06-02T14:46:54.196783Z
2026,3,832865,28,04/04/2026,18:00,Aflitos,Recife,PE,20023,Náutico,20037,Ponte Preta,1.0,0.0,5724.0,170834.0,ok,2026-06-02T14:46:54.196783Z
2026,3,832866,29,04/04/2026,18:00,Arena Pantanal,Cuiaba,MT,20800,Cuiabá,20031,Ceará,0.0,2.0,2195.0,28179.0,ok,2026-06-02T14:46:54.196783Z
2026,3,832867,30,04/04/2026,20:00,Onésio Brasileiro Alvarenga,Goiania,GO,20079,Vila Nova,62261,Atlético Goianiense Saf,2.0,1.0,5389.0,103900.0,ok,2026-06-02T14:46:54.196783Z
2026,3,832861,24,04/04/2026,20:30,VGD,Londrina,PR,62726,Londrina SAF,20010,Sport Recife,1.0,2.0,4363.0,123460.0,ok,2026-06-02T14:46:54.196783Z
2026,3,832864,27,05/04/2026,16:00,Ressacada,Florianopolis,SC,20058,Avaí,20106,Operário,0.0,0.0,4390.0,113058.0,ok,2026-06-02T14:46:54.196783Z
