rank_xpts,team_name,team_key,MP,xPts,xPts_adj,xpts_adj_delta,xW,xD,xL,Pts,W,D,L,GF,GA,GD,pts_diff,pts_diff_adj,sos,sos_rank,generated_at
1,Clube De Regatas Brasil,clube-de-regatas-brasil,11,17.78,17.65,-0.13,4.97,2.86,3.16,14,4,2,5,17.0,17.0,0.0,-3.78,-3.65,0.497,9,2026-06-04T14:26:07.547668Z
2,Atlético Goianiense,atletico-go,11,17.48,17.49,0.01,5.05,2.34,3.61,13,3,4,4,10.0,11.0,-1.0,-4.48,-4.49,0.482,13,2026-06-04T14:26:07.547668Z
3,Grêmio Novorizontino,novorizontino,11,16.78,15.69,-1.09,4.6,2.98,3.42,17,4,5,2,14.0,11.0,3.0,0.22,1.31,0.444,16,2026-06-04T14:26:07.547668Z
4,Náutico,nautico,11,16.53,16.2,-0.33,4.62,2.67,3.71,19,6,1,4,16.0,11.0,5.0,2.47,2.8,0.444,16,2026-06-04T14:26:07.547668Z
5,Criciúma,criciuma,11,16.46,16.18,-0.28,4.48,3.03,3.5,17,4,5,2,13.0,10.0,3.0,0.54,0.82,0.494,10,2026-06-04T14:26:07.547668Z
6,São Bernardo,sao-bernardo,11,16.41,16.92,0.51,4.54,2.8,3.66,21,6,3,2,17.0,8.0,9.0,4.59,4.08,0.415,20,2026-06-04T14:26:07.547668Z
7,Fortaleza,fortaleza,11,16.32,16.34,0.02,4.41,3.08,3.51,18,5,3,3,14.0,11.0,3.0,1.68,1.66,0.43,19,2026-06-04T14:26:07.547668Z
8,Sport Recife,sport,11,16.09,15.91,-0.18,4.5,2.6,3.9,22,6,4,1,15.0,7.0,8.0,5.91,6.09,0.451,15,2026-06-04T14:26:07.547668Z
9,Operário-PR,operario-pr,11,15.95,15.11,-0.84,4.32,2.99,3.69,16,4,4,3,12.0,14.0,-2.0,0.05,0.89,0.538,6,2026-06-04T14:26:07.547668Z
10,Ceará,ceara,11,15.85,16.28,0.43,4.41,2.63,3.97,13,3,4,4,12.0,13.0,-1.0,-2.85,-3.28,0.556,5,2026-06-04T14:26:07.547668Z
11,Botafogo-SP,botafogo-sp,11,15.61,15.23,-0.38,4.21,2.97,3.81,10,2,4,5,11.0,11.0,0.0,-5.61,-5.23,0.49,12,2026-06-04T14:26:07.547668Z
12,Juventude,juventude,11,15.5,15.54,0.04,4.02,3.44,3.54,16,4,4,3,9.0,6.0,3.0,0.5,0.46,0.502,8,2026-06-04T14:26:07.547668Z
13,Vila Nova FC,vila-nova,11,15.19,15.22,0.03,4.1,2.89,4.01,22,6,4,1,17.0,11.0,6.0,6.81,6.78,0.432,18,2026-06-04T14:26:07.547668Z
14,Goiás,goias,11,14.81,15.3,0.49,3.94,2.97,4.08,17,5,2,4,12.0,13.0,-1.0,2.19,1.7,0.466,14,2026-06-04T14:26:07.547668Z
15,Cuiabá,cuiaba,11,14.65,14.88,0.23,3.72,3.47,3.8,13,2,7,2,6.0,5.0,1.0,-1.65,-1.88,0.563,4,2026-06-04T14:26:07.547668Z
16,América Mineiro,america-mg,11,13.01,12.88,-0.13,3.41,2.77,4.82,3,0,3,8,6.0,22.0,-16.0,-10.01,-9.88,0.577,3,2026-06-04T14:26:07.547668Z
17,Athletic Club,athletic-club,11,12.67,12.8,0.13,3.25,2.92,4.83,17,4,5,2,13.0,11.0,2.0,4.33,4.2,0.516,7,2026-06-04T14:26:07.547668Z
18,Ponte Preta,ponte-preta,11,12.3,12.55,0.25,3.29,2.43,5.28,8,2,2,7,9.0,20.0,-11.0,-4.3,-4.55,0.494,10,2026-06-04T14:26:07.547668Z
19,Avaí,avai,11,11.72,11.73,0.01,3.0,2.73,5.27,10,2,4,5,11.0,15.0,-4.0,-1.72,-1.73,0.607,1,2026-06-04T14:26:07.547668Z
20,Londrina,londrina,11,10.25,10.48,0.23,2.52,2.68,5.8,8,2,2,7,12.0,19.0,-7.0,-2.25,-2.48,0.594,2,2026-06-04T14:26:07.547668Z
