event_id,match_code,round,team_key,is_home,xg_raw,xg_weighted,xg_reduction_pct,n_shots,n_decided,xg_level,xg_d2,xg_d3plus
15525984,EOsvP,1,botafogo-sp,True,2.6021,1.4469,44.4,15,9,0.8938,0.5042,1.2041
15525984,EOsvP,1,fortaleza,False,0.3296,0.2414,26.8,7,4,0.212,0.0,0.1175
15525985,xPsokeb,1,novorizontino,True,2.3431,1.4257,39.2,24,15,0.972,0.4438,0.9273
15525985,xPsokeb,1,londrina,False,1.3811,1.2488,9.6,11,3,1.1223,0.2473,0.0115
15525986,uOsAfMc,1,athletic-club,True,1.0186,1.0186,0.0,17,0,1.0186,0.0,0.0
15525986,uOsAfMc,1,ponte-preta,False,0.7702,0.7702,0.0,10,0,0.7702,0.0,0.0
15525987,oWcsJRp,1,operario-pr,True,2.7505,2.7505,0.0,17,0,2.7505,0.0,0.0
15525987,oWcsJRp,1,atletico-go,False,0.6064,0.6064,0.0,9,0,0.6064,0.0,0.0
15525988,bPseau,1,ceara,True,1.7729,1.7729,0.0,21,0,1.7729,0.0,0.0
15525988,bPseau,1,sao-bernardo,False,0.3064,0.3064,0.0,4,0,0.3064,0.0,0.0
15525989,kOsyO,1,goias,True,1.9548,1.8564,5.0,9,5,1.758,0.1967,0.0
15525989,kOsyO,1,america-mg,False,1.7713,0.956,46.0,24,17,0.431,0.7596,0.5807
15525991,FOspWc,1,avai,True,0.9646,0.9646,0.0,16,0,0.9646,0.0,0.0
15525991,FOspWc,1,juventude,False,0.7381,0.6029,18.3,8,5,0.4677,0.2704,0.0
15525992,JOslP,1,nautico,True,0.7696,0.7696,0.0,10,0,0.7696,0.0,0.0
15525992,JOslP,1,criciuma,False,1.115,1.115,0.0,9,0,1.115,0.0,0.0
15525993,jOscJu,1,cuiaba,True,1.5985,1.5985,0.0,13,0,1.5985,0.0,0.0
15525993,jOscJu,1,sport,False,0.9164,0.9164,0.0,10,0,0.9164,0.0,0.0
15525994,wPsHPi,1,vila-nova,True,0.8038,0.8038,0.0,8,0,0.8038,0.0,0.0
15525994,wPsHPi,1,clube-de-regatas-brasil,False,1.1507,1.1507,0.0,12,0,1.1507,0.0,0.0
15525995,uOsbP,2,ponte-preta,True,1.6855,1.6855,0.0,9,0,1.6855,0.0,0.0
