rank_power,team_key,team_name,MP,power_score,n_forca,n_form,n_desemp,n_dom,c_xpts_mp,c_net_xg_mp,c_form,xPts,Pts,pts_diff,sos_global,sos_rolling,sos_window,generated_at
1,clube-de-regatas-brasil,Clube De Regatas Brasil,11,94.6,0.9710843884120618,0.8888888888888888,1.0,1.0,1.6045454545454545,0.30890909090909086,2.25,17.78,14,-3.78,0.497,0.67,4,2026-06-04T14:28:28.923052Z
2,atletico-go,Atlético Goianiense,11,83.3,1.0,0.4444444444444444,0.9776847977684796,0.9622215267862383,1.5899999999999999,0.2737909090909092,1.25,17.48,13,-4.48,0.482,0.773,4,2026-06-04T14:28:28.923052Z
3,sport,Sport Recife,11,81.0,0.7764961848379281,0.8888888888888888,0.7573221757322175,0.8632620728773449,1.4463636363636363,0.1818000000000002,2.25,16.09,22,5.91,0.451,0.648,4,2026-06-04T14:28:28.923052Z
4,nautico,Náutico,11,80.4,0.7679143422484611,0.8888888888888888,0.797768479776848,0.8386664580358714,1.4727272727272727,0.15893636363636351,2.25,16.53,19,2.47,0.444,0.614,4,2026-06-04T14:28:28.923052Z
5,sao-bernardo,São Bernardo,11,77.5,0.7732422589030034,0.7777777777777778,0.8981868898186892,0.9159543880923973,1.5381818181818183,0.2307818181818181,2.0,16.41,21,4.59,0.415,0.466,4,2026-06-04T14:28:28.923052Z
6,goias,Goiás,11,75.2,0.6457751590033425,1.0,0.6722454672245467,0.6945938545191386,1.3909090909090909,0.025009090909090922,2.5,14.81,17,2.19,0.466,0.625,4,2026-06-04T14:28:28.923052Z
7,novorizontino,Grêmio Novorizontino,11,73.1,0.7107655682943179,0.7777777777777778,0.7266387726638772,0.7567625716353397,1.4263636363636363,0.08280000000000017,2.0,16.78,17,0.22,0.444,0.648,4,2026-06-04T14:28:28.923052Z
8,criciuma,Criciúma,11,71.2,0.7795138785006388,0.5555555555555556,0.794979079497908,0.8549298804936727,1.470909090909091,0.17405454545454546,1.5,16.46,17,0.54,0.494,0.625,4,2026-06-04T14:28:28.923052Z
9,vila-nova,Vila Nova FC,11,65.8,0.5597246693489744,0.8888888888888888,0.6610878661087869,0.6832886733037338,1.3836363636363638,0.014499999999999957,2.25,15.19,22,6.81,0.432,0.432,4,2026-06-04T14:28:28.923052Z
10,ceara,Ceará,11,64.4,0.8241375592087388,0.2222222222222222,0.8089260808926084,0.832407534179592,1.4800000000000002,0.15311818181818185,0.75,15.85,13,-2.85,0.556,0.727,4,2026-06-04T14:28:28.923052Z
11,juventude,Juventude,11,63.3,0.7137524198429278,0.4444444444444444,0.7057182705718269,0.7642928393999256,1.4127272727272726,0.0898,1.25,15.5,16,0.5,0.502,0.67,4,2026-06-04T14:28:28.923052Z
12,fortaleza,Fortaleza,11,63.1,0.7585507651009765,0.3333333333333333,0.8172942817294281,0.8713791147534572,1.4854545454545454,0.1893454545454546,1.0,16.32,18,1.68,0.43,0.545,4,2026-06-04T14:28:28.923052Z
13,cuiaba,Cuiabá,11,61.0,0.680555236848133,0.4444444444444444,0.6136680613668063,0.715541690300624,1.3527272727272728,0.044481818181818185,1.25,14.65,13,-1.65,0.563,0.761,4,2026-06-04T14:28:28.923052Z
14,operario-pr,Operário-PR,11,59.4,0.7059555878414913,0.3333333333333333,0.6457461645746163,0.7692315215052712,1.3736363636363635,0.09439090909090905,1.0,15.95,16,0.05,0.538,0.716,4,2026-06-04T14:28:28.923052Z
15,botafogo-sp,Botafogo-SP,11,47.6,0.679801296163354,0.0,0.6624825662482566,0.7376043968940091,1.3845454545454545,0.06499090909090927,0.25,15.61,10,-5.61,0.49,0.67,4,2026-06-04T14:28:28.923052Z
16,athletic-club,Athletic Club,11,43.7,0.2913484937772686,0.7777777777777778,0.32357043235704347,0.28448764840495244,1.1636363636363638,-0.3562181818181818,2.0,12.67,17,4.33,0.516,0.648,4,2026-06-04T14:28:28.923052Z
17,america-mg,América Mineiro,11,28.5,0.40665489441175046,0.0,0.33472803347280333,0.40687894850079226,1.170909090909091,-0.24244545454545455,0.25,13.01,3,-10.01,0.577,0.886,4,2026-06-04T14:28:28.923052Z
18,ponte-preta,Ponte Preta,11,19.5,0.27921414815956164,0.0,0.2887029288702928,0.3063058657852017,1.1409090909090909,-0.3359363636363636,0.25,12.3,8,-4.3,0.494,0.614,4,2026-06-04T14:28:28.923052Z
19,avai,Avaí,11,10.1,0.14469868430105834,0.0,0.17433751743375178,0.09599624464568614,1.0663636363636364,-0.5314363636363638,0.25,11.72,10,-1.72,0.607,0.841,4,2026-06-04T14:28:28.923052Z
20,londrina,Londrina,11,6.7,0.0,0.2222222222222222,0.0,0.0,0.9527272727272728,-0.6206727272727274,0.75,10.25,8,-2.25,0.594,0.784,4,2026-06-04T14:28:28.923052Z
