rank_xpts,team_name,team_key,MP,xPts,xW,xD,xL,Pts,W,D,L,GF,GA,GD,pts_diff,sos,sos_rank,generated_at
1,Grêmio Novorizontino,novorizontino,8,13.12,3.67,2.11,2.22,12,3,3,2,11.0,9.0,2.0,-1.12,0.383,19,2026-05-13T11:59:50.751342Z
2,CRB,crb,8,13.03,3.65,2.09,2.26,8,2,2,4,11.0,12.0,-1.0,-5.03,0.435,14,2026-05-13T11:59:50.751342Z
3,Atlético Goianiense,atletico-go,8,12.71,3.69,1.64,2.67,11,3,2,3,8.0,8.0,0.0,-1.71,0.42,17,2026-05-13T11:59:50.751342Z
4,Criciúma,criciuma,8,12.61,3.49,2.14,2.37,12,3,3,2,9.0,7.0,2.0,-0.61,0.484,9,2026-05-13T11:59:50.751342Z
5,Náutico,nautico,8,12.23,3.38,2.1,2.52,13,4,1,3,9.0,7.0,2.0,0.77,0.4,18,2026-05-13T11:59:50.751342Z
6,Sport Recife,sport,8,12.12,3.44,1.82,2.75,16,4,4,0,11.0,5.0,6.0,3.88,0.369,20,2026-05-13T11:59:50.751342Z
7,Operário-PR,operario-pr,8,11.81,3.17,2.31,2.52,12,3,3,2,7.0,6.0,1.0,0.19,0.51,5,2026-05-13T11:59:50.751342Z
8,Ceará,ceara,8,11.73,3.31,1.8,2.89,10,2,4,2,8.0,8.0,0.0,-1.73,0.506,6,2026-05-13T11:59:50.751342Z
9,Vila Nova FC,vila-nova,8,11.27,3.08,2.04,2.89,13,3,4,1,12.0,10.0,2.0,1.73,0.475,10,2026-05-13T11:59:50.751342Z
10,São Bernardo,sao-bernardo,8,10.74,2.9,2.04,3.06,16,5,1,2,14.0,6.0,8.0,5.26,0.431,15,2026-05-13T11:59:50.751342Z
11,Cuiabá,cuiaba,8,10.71,2.66,2.72,2.62,9,1,6,1,4.0,4.0,0.0,-1.71,0.529,3,2026-05-13T11:59:50.751342Z
12,Juventude,juventude,8,10.66,2.68,2.62,2.7,12,3,3,2,5.0,4.0,1.0,1.34,0.473,11,2026-05-13T11:59:50.751342Z
13,Botafogo-SP,botafogo-sp,8,10.65,2.86,2.08,3.06,9,2,3,3,10.0,8.0,2.0,-1.65,0.513,4,2026-05-13T11:59:50.751342Z
14,Ponte Preta,ponte-preta,8,10.64,2.94,1.83,3.23,7,2,1,5,6.0,12.0,-6.0,-3.64,0.5,7,2026-05-13T11:59:50.751342Z
15,Fortaleza,fortaleza,8,10.23,2.61,2.41,2.98,15,4,3,1,10.0,8.0,2.0,4.77,0.444,13,2026-05-13T11:59:50.751342Z
16,Goiás,goias,8,10.08,2.63,2.19,3.18,10,3,1,4,8.0,12.0,-4.0,-0.08,0.492,8,2026-05-13T11:59:50.751342Z
17,Avaí,avai,8,9.59,2.55,1.94,3.51,10,2,4,2,10.0,9.0,1.0,0.41,0.565,1,2026-05-13T11:59:50.751342Z
18,América Mineiro,america-mg,8,9.47,2.47,2.06,3.47,2,0,2,6,4.0,16.0,-12.0,-7.47,0.462,12,2026-05-13T11:59:50.751342Z
19,Athletic Club,athletic-club,8,8.83,2.25,2.07,3.68,10,2,4,2,9.0,9.0,0.0,1.17,0.428,16,2026-05-13T11:59:50.751342Z
20,Londrina,londrina,8,6.75,1.58,2.02,4.4,5,1,2,5,8.0,14.0,-6.0,-1.75,0.553,2,2026-05-13T11:59:50.751342Z
