season,competition_scope,competition_name,competition_round,match_code,event_id,match_label,match_date_utc,home_team,home_team_key,away_team,away_team_key,home_score,away_score,sport_outcome,status,is_completed,venue_name,match_url,data_status,last_updated_at,transformed_at
2026,all_competitions,"Pernambucano, Serie A1",1,jOswXWd,15204423,AD Jaguar 2.0 x 2.0 Sport Recife,2026-01-10T20:00:00Z,AD Jaguar,ad-jaguar,Sport Recife,sport,2.0,2.0,draw,completed,True,,https://www.sofascore.com/football/match/ad-jaguar-sport-recife/jOswXWd,score_confirmed,2026-04-13T13:44:31.840254Z,2026-04-14T17:14:21.332510Z
2026,all_competitions,"Pernambucano, Serie A1",2,jOsOWEc,15204429,Sport Recife 2.0 x 0.0 Retrô,2026-01-15T00:30:00Z,Sport Recife,sport,Retrô,retro,2.0,0.0,win,completed,True,,https://www.sofascore.com/football/match/retro-sport-recife/jOsOWEc,score_confirmed,2026-04-13T13:44:31.840278Z,2026-04-14T17:14:21.332510Z
2026,all_competitions,"Pernambucano, Serie A1",3,jOslP,15204428,Náutico 4.0 x 0.0 Sport Recife,2026-01-18T21:00:00Z,Náutico,nautico,Sport Recife,sport,4.0,0.0,loss,completed,True,,https://www.sofascore.com/football/match/clube-nautico-capibaribe-sport-recife/jOslP,score_confirmed,2026-04-13T13:44:31.840292Z,2026-04-14T17:14:21.332510Z
2026,all_competitions,"Pernambucano, Serie A1",4,jOsToWd,15204430,Sport Recife 5.0 x 0.0 Decisão Goiana,2026-01-21T22:00:00Z,Sport Recife,sport,Decisão Goiana,decisao-goiana,5.0,0.0,win,completed,True,,https://www.sofascore.com/football/match/decisao-goiana-sport-recife/jOsToWd,score_confirmed,2026-04-13T13:44:31.840307Z,2026-04-14T17:14:21.332510Z
2026,all_competitions,"Pernambucano, Serie A1",5,jOsydn,15204425,Sport Recife 3.0 x 0.0 Acadêmica Vitória,2026-01-24T20:00:00Z,Sport Recife,sport,Acadêmica Vitória,academica-vitoria,3.0,0.0,win,completed,True,,https://www.sofascore.com/football/match/academica-vitoria-sport-recife/jOsydn,score_confirmed,2026-04-13T13:44:31.840318Z,2026-04-14T17:14:21.332510Z
2026,all_competitions,"Pernambucano, Serie A1",6,jOsXMHd,15204484,Maguary 1.0 x 1.0 Sport Recife,2026-01-28T18:00:00Z,Maguary,maguary,Sport Recife,sport,1.0,1.0,draw,completed,True,,https://www.sofascore.com/football/match/maguary-sport-recife/jOsXMHd,score_confirmed,2026-04-13T13:44:31.840329Z,2026-04-14T17:14:21.332510Z
2026,all_competitions,"Pernambucano, Serie A1",7,jOsBO,15204433,Sport Recife 2.0 x 1.0 Santa Cruz,2026-01-31T19:30:00Z,Sport Recife,sport,Santa Cruz,santa-cruz,2.0,1.0,win,completed,True,,https://www.sofascore.com/football/match/santa-cruz-sport-recife/jOsBO,score_confirmed,2026-04-13T13:44:31.840341Z,2026-04-14T17:14:21.332510Z
2026,all_competitions,"Pernambucano, Serie A1, Playoffs",28,jOsOWEc,15517019,Retrô 0.0 x 1.0 Sport Recife,2026-02-12T20:00:00Z,Retrô,retro,Sport Recife,sport,0.0,1.0,win,completed,True,,https://www.sofascore.com/football/match/retro-sport-recife/jOsOWEc,score_confirmed,2026-04-13T13:44:31.840352Z,2026-04-14T17:14:21.332510Z
2026,all_competitions,"Pernambucano, Serie A1, Playoffs",28,jOsOWEc,15518619,Sport Recife 3.0 x 2.0 Retrô,2026-02-21T19:30:00Z,Sport Recife,sport,Retrô,retro,3.0,2.0,win,completed,True,,https://www.sofascore.com/football/match/retro-sport-recife/jOsOWEc,score_confirmed,2026-04-13T13:44:31.840361Z,2026-04-14T17:14:21.332510Z
2026,all_competitions,"Pernambucano, Serie A1, Playoffs",29,jOslP,15601729,Sport Recife 3.0 x 3.0 Náutico,2026-03-01T21:00:00Z,Sport Recife,sport,Náutico,nautico,3.0,3.0,draw,completed,True,,https://www.sofascore.com/football/match/nautico-sport-recife/jOslP,score_confirmed,2026-04-13T13:44:31.840373Z,2026-04-14T17:14:21.332510Z
